
[00:00:00.000 --> 00:00:02.000]  警察們早安
[00:00:02.000 --> 00:00:04.000]  一段時間沒有回來教會
[00:00:04.000 --> 00:00:06.000]  我發現突然多了很多人
[00:00:06.000 --> 00:00:08.000]  感謝耶穌
[00:00:08.000 --> 00:00:10.000]  剛才當敬拜到第三首歌的時候
[00:00:10.000 --> 00:00:13.000]  我突然有一個很深的感受
[00:00:13.000 --> 00:00:15.000]  上帝似乎跟我們說
[00:00:15.000 --> 00:00:19.000]  這是一個不單止是一個醫治的時間
[00:00:19.000 --> 00:00:24.000]  同時間這是一個我們作為耶穌基督門徒群體的一份子
[00:00:24.000 --> 00:00:26.000]  這是一個我們起來發揮影響力的時候
[00:00:26.000 --> 00:00:28.000]  可不可以說Amen
[00:00:28.000 --> 00:00:31.000]  的確上帝是這樣呼召我們
[00:00:31.000 --> 00:00:33.000]  可不可以在開始分享之前我們有一個禱告
[00:00:33.000 --> 00:00:35.000]  天王我們感謝你
[00:00:35.000 --> 00:00:38.000]  今天我們回來教會敬拜你
[00:00:38.000 --> 00:00:40.000]  我們來領受你的話語
[00:00:40.000 --> 00:00:42.000]  神父求你幫助我們
[00:00:42.000 --> 00:00:44.000]  我們今天不是來聽人的說話
[00:00:44.000 --> 00:00:47.000]  因為影響力對我們不會有太大的幫助
[00:00:47.000 --> 00:00:50.000]  但主啊 為了你自己的聖靈吸引我們
[00:00:50.000 --> 00:00:52.000]  來聽你的說話
[00:00:52.000 --> 00:00:54.000]  你聖靈在我們生命當中
[00:00:54.000 --> 00:00:56.000]  在我們每一個電影節目中
[00:00:56.000 --> 00:00:58.000]  你跟我們的心說話
[00:00:58.000 --> 00:01:00.000]  以致主我們知道
[00:01:00.000 --> 00:01:02.000]  你對我們生命的吩咐
[00:01:02.000 --> 00:01:04.000]  你對我們的呼召
[00:01:04.000 --> 00:01:06.000]  你對我們的心意
[00:01:06.000 --> 00:01:08.000]  主我們感謝你
[00:01:08.000 --> 00:01:10.000]  祈求你這樣來祝福這個時間的聖靈
[00:01:10.000 --> 00:01:12.000]  讓我們同在 充滿我們每一個
[00:01:12.000 --> 00:01:14.000]  聽我們祈禱 奉耶穌的名求
