
[00:00:00.000 --> 00:00:02.000]  謝謝Chapman
[00:00:02.000 --> 00:00:06.000]  唉,最近可能有空了一點
[00:00:06.000 --> 00:00:09.000]  我經常說有空死,沒空病
[00:00:09.000 --> 00:00:11.000]  應該不會病的,對吧?
[00:00:11.000 --> 00:00:13.000]  最近有空了一點,所以會病
[00:00:13.000 --> 00:00:14.000]  終於有人懂得笑了
[00:00:14.000 --> 00:00:15.000]  OK
[00:00:15.000 --> 00:00:17.000]  希望大家都忙一點
[00:00:17.000 --> 00:00:19.000]  不會那麼多病痛
[00:00:19.000 --> 00:00:24.000]  唉,其實真的有點不舒服
[00:00:24.000 --> 00:00:26.000]  我準備了一瓶水,待會可以…
[00:00:26.000 --> 00:00:28.000]  看兩下,待會可能會有一點…
[00:00:28.000 --> 00:00:29.000]  咳兩聲
[00:00:29.000 --> 00:00:31.000]  有段距離應該不會傳染給大家
[00:00:31.000 --> 00:00:33.000]  我想問一下…
[00:00:33.000 --> 00:00:37.000]  我想先說一下我們這次的系列
[00:00:37.000 --> 00:00:39.000]  不如我們直接出一張圖片
[00:00:39.000 --> 00:00:41.000]  其實由上星期開始
[00:00:41.000 --> 00:00:43.000]  我們開始了一個叫做
[00:00:43.000 --> 00:00:46.000]  「學想醫治,Longing for Healing」的講道系列
[00:00:46.000 --> 00:00:48.000]  我們會有連續七個星期
[00:00:48.000 --> 00:00:52.000]  我們會說關於耶穌怎樣去醫治人
[00:00:52.000 --> 00:00:54.000]  的一個講道系列
[00:00:54.000 --> 00:00:56.000]  上個星期,Pastor Chapman
[00:00:56.000 --> 00:00:58.000]  「再無別命」
[00:00:58.000 --> 00:01:00.000]  跟我們說了一個介紹
[00:01:00.000 --> 00:01:02.000]  還有耶穌怎樣去傳人的醫治
[00:01:02.000 --> 00:01:04.000]  接下來的不同的星期
[00:01:04.000 --> 00:01:05.000]  繼續會有我們
[00:01:05.000 --> 00:01:07.000]  也會有我們邀請了
[00:01:07.000 --> 00:01:10.000]  我們當中有一些我們的弟妹
[00:01:10.000 --> 00:01:12.000]  他們也有一些很有經驗的
[00:01:12.000 --> 00:01:13.000]  曾經的一些講員
[00:01:13.000 --> 00:01:15.000]  他們也會跟我們一起分享訊息
[00:01:15.000 --> 00:01:17.000]  這樣,好不好?
[00:01:17.000 --> 00:01:19.000]  其實我想說
[00:01:19.000 --> 00:01:21.000]  我想這一個多月
[00:01:21.000 --> 00:01:24.000]  上帝是希望我們有一個期望
[00:01:24.000 --> 00:01:26.000]  「Get Ready」
[00:01:26.000 --> 00:01:28.000]  去接受醫治
[00:01:28.000 --> 00:01:29.000]  在我們祈禱的時候
[00:01:29.000 --> 00:01:30.000]  今早祈禱的時候
[00:01:30.000 --> 00:01:32.000]  或者是我一直為這個系列祈禱的時候
[00:01:32.000 --> 00:01:34.000]  特別是今天
[00:01:34.000 --> 00:01:37.000]  上帝說祂要醫治一些人
[00:01:37.000 --> 00:01:39.000]  上帝說祂要醫治一些人
[00:01:39.000 --> 00:01:41.000]  是很強大的一件事
[00:01:41.000 --> 00:01:43.000]  所以我希望大家都可以「Get Ready」
[00:01:43.000 --> 00:01:48.000]  我們去被上帝親自去醫治,好不好?
[00:01:48.000 --> 00:01:51.000]  大家還有沒有用Facebook?我想問
[00:01:51.000 --> 00:01:54.000]  有沒有人在用IG?
[00:01:54.000 --> 00:01:56.000]  是不是也要先舉手
[00:01:56.000 --> 00:01:58.000]  是不是說到IG好像很「IN」
[00:01:58.000 --> 00:02:01.000]  有沒有人還是很活躍地在用Facebook?
[00:02:01.000 --> 00:02:03.000]  OK的
[00:02:03.000 --> 00:02:07.000]  是一本寶來的
[00:02:07.000 --> 00:02:13.000]  當Facebook仍然是我最喜愛的社交平台的時候
[00:02:13.000 --> 00:02:15.000]  我現在也有用,不過沒那麼「Active」
[00:02:15.000 --> 00:02:19.000]  其實那個平台幫助到我
[00:02:19.000 --> 00:02:22.000]  聯繫很多舊同學和舊朋友
[00:02:22.000 --> 00:02:27.000]  但同時也幫我結識了一些新的朋友
[00:02:27.000 --> 00:02:30.000]  在2012年的時候,即是12年前
[00:02:30.000 --> 00:02:32.000]  我意外地加了一個女生
[00:02:32.000 --> 00:02:34.000]  只是意外而已
[00:02:34.000 --> 00:02:38.000]  雖然我和我老婆的感情
[00:02:38.000 --> 00:02:40.000]  都是發生在Facebook的,OK?
[00:02:40.000 --> 00:02:46.000]  大家是不是馬上想用回Facebook?
[00:02:46.000 --> 00:02:48.000]  不要說那麼多負面的東西
[00:02:48.000 --> 00:02:50.000]  OK,先回到正題
[00:02:50.000 --> 00:02:52.000]  為什麼會加了一個女生呢?
[00:02:52.000 --> 00:02:56.000]  其實她的「First Name」和我的舊朋友是一樣的
[00:02:56.000 --> 00:02:57.000]  我們也有一個「Common Friend」
[00:02:57.000 --> 00:03:00.000]  所以她也接到我的「Friend Request」
[00:03:00.000 --> 00:03:02.000]  即是Facebook要有一個「Friend Request」要批准
[00:03:02.000 --> 00:03:05.000]  她的名字叫做「Heidi」
[00:03:05.000 --> 00:03:06.000]  Mitchie也知道的
[00:03:06.000 --> 00:03:08.000]  這個女生的名字叫Heidi
[00:03:08.000 --> 00:03:13.000]  大家想不想看看我第一個發給她的訊息?
[00:03:13.000 --> 00:03:15.000]  最開心就是這些東西,是吧?
[00:03:15.000 --> 00:03:18.000]  不如我們看看第一個訊息吧
[00:03:18.000 --> 00:03:20.000]  我問到她
[00:03:20.000 --> 00:03:21.000]  其實我加了一段時間了
[00:03:21.000 --> 00:03:22.000]  然後我問
[00:03:22.000 --> 00:03:27.000]  你不好奇為什麼我會在Facebook加了你嗎?
[00:03:27.000 --> 00:03:29.000]  這個真的是神的安排
[00:03:29.000 --> 00:03:31.000]  嘩,用這個東西認識女生,對嗎?
[00:03:31.000 --> 00:03:33.000]  不是,先看完
[00:03:33.000 --> 00:03:35.000]  我以為你是我另一個認識的Heidi
[00:03:35.000 --> 00:03:37.000]  錯手加了你
[00:03:37.000 --> 00:03:41.000]  正正當時,過幾天你就要第一次做手術
[00:03:41.000 --> 00:03:45.000]  神安排了我加入為你代禱的行列
[00:03:45.000 --> 00:03:49.000]  那時我正希望更加了解代禱的重要
[00:03:49.000 --> 00:03:52.000]  現在我能夠見證你一路康復
[00:03:52.000 --> 00:03:54.000]  雖然醫治的路不易走
[00:03:54.000 --> 00:03:59.000]  但偏偏這樣又令人感受到你對主的信心
[00:03:59.000 --> 00:04:05.000]  作靠著主耶穌基督醫治大人的見證
[00:04:05.000 --> 00:04:07.000]  願主繼續保守你
[00:04:07.000 --> 00:04:11.000]  新生代你,大大使用你
[00:04:11.000 --> 00:04:15.000]  話說Heidi本身是亞洲電視的一位體育記者
[00:04:15.000 --> 00:04:19.000]  她有一天無緣無故在公司暈倒
[00:04:19.000 --> 00:04:23.000]  之後她發現原來她腦裡有一個像網球般大的腫瘤
[00:04:23.000 --> 00:04:27.000]  那段時間她要去做化療
[00:04:27.000 --> 00:04:29.000]  做很多不同的手術
[00:04:29.000 --> 00:04:35.000]  我們由網友成為了會出來見面的朋友
[00:04:35.000 --> 00:04:38.000]  在過程中我知道她的病情很反覆
[00:04:38.000 --> 00:04:41.000]  她的心情和情緒都很反覆
[00:04:41.000 --> 00:04:44.000]  當時她差不多三十歲
[00:04:44.000 --> 00:04:48.000]  二十多歲,好像還未到三十歲
[00:04:48.000 --> 00:04:50.000]  當時有一段短的時間
[00:04:50.000 --> 00:04:52.000]  我和她好像沒有聯絡了
[00:04:52.000 --> 00:04:54.000]  突然我收到她的訊息
[00:04:54.000 --> 00:05:01.000]  她說在Facebook看到你教會的生活很開心
[00:05:01.000 --> 00:05:03.000]  很羨慕
[00:05:03.000 --> 00:05:06.000]  原來因為她的病情反覆惡化
[00:05:06.000 --> 00:05:09.000]  她開始失去信心
[00:05:09.000 --> 00:05:12.000]  她開始想收起自己
[00:05:12.000 --> 00:05:17.000]  當時正當我很火熱去傳福音
[00:05:17.000 --> 00:05:19.000]  不斷地抓人回教會
[00:05:19.000 --> 00:05:21.000]  不斷地帶人去報道會
[00:05:21.000 --> 00:05:23.000]  當時我有一個Excel表
[00:05:23.000 --> 00:05:25.000]  遲些可以展示給大家看
[00:05:25.000 --> 00:05:26.000]  我一年打了超過一百人
[00:05:26.000 --> 00:05:28.000]  未信主的人回教會
[00:05:28.000 --> 00:05:29.000]  很誇張的一件事
[00:05:29.000 --> 00:05:31.000]  原來神使用的時候
[00:05:31.000 --> 00:05:34.000]  是可以願意的時候去使用大家
[00:05:34.000 --> 00:05:38.000]  當時她鼓起勇氣
[00:05:38.000 --> 00:05:42.000]  她跟我們一起去報道會
[00:05:42.000 --> 00:05:45.000]  其實她那時候很脆弱
[00:05:45.000 --> 00:05:48.000]  她整天都很累,很虛弱
[00:05:48.000 --> 00:05:50.000]  但她帶著她很虛弱的身體
[00:05:50.000 --> 00:05:51.000]  一起去報道會
[00:05:51.000 --> 00:05:54.000]  一起和我們帶她的朋友去傳福音
[00:05:54.000 --> 00:05:56.000]  一起去講見證
[00:05:56.000 --> 00:05:58.000]  之後我又收到她另一個訊息
[00:05:58.000 --> 00:06:01.000]  她說因為我們對福音的熱心
[00:06:01.000 --> 00:06:03.000]  鼓勵了她
[00:06:03.000 --> 00:06:05.000]  她也要去某一間教會裡
[00:06:05.000 --> 00:06:08.000]  分享她被耶穌醫治的見證
[00:06:08.000 --> 00:06:10.000]  她的故事
[00:06:10.000 --> 00:06:12.000]  今天我想和大家分享的經文
