
[00:00:00.000 --> 00:00:02.000]  他的權威性
[00:00:02.000 --> 00:00:05.760]  其實就要去到像剝洋蔥一樣
[00:00:05.760 --> 00:00:08.960]  將表面的一層剝下去
[00:00:08.960 --> 00:00:10.240]  然後斬斬斬
[00:00:10.240 --> 00:00:16.160]  令到我們去找回原本的觀點
[00:00:16.160 --> 00:00:20.400]  但大部分人都認為
[00:00:20.400 --> 00:00:24.960]  耶利米亞這種看法是站不住腳的
[00:00:24.960 --> 00:00:29.360]  其實今天也不是有那麼多人會再去追蹤他
[00:00:29.360 --> 00:00:32.640]  還有他的前輩朱立察這樣看
[00:00:32.640 --> 00:00:35.920]  大部分的學者都認為
[00:00:35.920 --> 00:00:42.160]  其實比喻的確是一個隱喻的擴展
[00:00:42.160 --> 00:00:45.120]  而不單止是名譽
[00:00:45.120 --> 00:00:49.920]  我們說中學的時候
[00:00:49.920 --> 00:00:52.720]  其實你記不記得什麼叫名譽什麼叫隱喻
[00:00:52.720 --> 00:00:57.360]  做一點回顧
[00:00:57.360 --> 00:00:59.920]  我們說名譽
[00:00:59.920 --> 00:01:01.920]  我現在試一下說一個
[00:01:01.920 --> 00:01:07.600]  譬如說你見到你的女朋友
[00:01:07.600 --> 00:01:09.600]  你跟她說
[00:01:09.600 --> 00:01:18.160]  你就像一個天空的月亮
[00:01:18.160 --> 00:01:20.160]  這是名譽還是暗語
[00:01:20.160 --> 00:01:22.160]  名譽
[00:01:22.160 --> 00:01:24.160]  我們以前中學的時候
[00:01:24.160 --> 00:01:26.160]  我忘記了中幾
[00:01:26.160 --> 00:01:28.160]  有一個特徵
[00:01:28.160 --> 00:01:30.160]  像的字
[00:01:30.160 --> 00:01:32.160]  你像天空的月亮
[00:01:32.160 --> 00:01:34.160]  就是說
[00:01:34.160 --> 00:01:39.200]  你把你的女朋友的樣貌
[00:01:39.200 --> 00:01:41.200]  或者她對你的意義
[00:01:41.200 --> 00:01:43.200]  跟月亮比較
[00:01:43.200 --> 00:01:45.200]  但她不是月亮
[00:01:45.200 --> 00:01:49.200]  所以你是比較的
[00:01:49.200 --> 00:01:55.600]  不是有什麼新的看法
[00:01:55.600 --> 00:01:57.600]  因為這個說法
[00:01:57.600 --> 00:02:02.000]  假設了月亮的意思是很清楚的
[00:02:02.000 --> 00:02:04.000]  假設了
[00:02:04.000 --> 00:02:09.440]  所以我們說名譽是不需要解釋的
[00:02:09.440 --> 00:02:14.800]  你就像天空的月亮一樣
[00:02:14.800 --> 00:02:16.800]  那麼對我那麼優美
[00:02:16.800 --> 00:02:18.800]  不需要解釋
[00:02:18.800 --> 00:02:20.800]  名譽是很清楚的
[00:02:20.800 --> 00:02:22.800]  但隱喻就是
[00:02:22.800 --> 00:02:26.800]  隱喻不只是沒有了那個象的字
