
[00:00:00.000 --> 00:00:02.000]  各位晚安
[00:00:02.000 --> 00:00:07.000]  見到這隊敬拜隊
[00:00:07.000 --> 00:00:11.000]  大家知不知道這隊敬拜隊有個名叫甚麼
[00:00:11.000 --> 00:00:13.000]  我們從來都沒有登程序表
[00:00:13.000 --> 00:00:14.000]  所以沒有人知道
[00:00:14.000 --> 00:00:15.000]  聽清楚了
[00:00:15.000 --> 00:00:18.000]  這隊敬拜隊的名字叫Zama
[00:00:18.000 --> 00:00:21.000]  Zama
[00:00:21.000 --> 00:00:22.000]  對了
[00:00:22.000 --> 00:00:25.000]  為甚麼我特別要提他們呢
[00:00:25.000 --> 00:00:29.000]  因為這隊敬拜隊原先不是叫Zama
[00:00:29.000 --> 00:00:31.000]  是叫六晚敬拜隊
[00:00:31.000 --> 00:00:33.000]  即是星期六晚的敬拜隊
[00:00:33.000 --> 00:00:34.000]  很簡單
[00:00:34.000 --> 00:00:35.000]  叫六晚
[00:00:35.000 --> 00:00:42.000]  我初初來到恩福堂服侍建立的第一隊敬拜隊
[00:00:42.000 --> 00:00:43.000]  當中還有很多個
[00:00:43.000 --> 00:00:46.000]  由當日一直到今天都還在
[00:00:46.000 --> 00:00:47.000]  當然又加了很多新人
[00:00:47.000 --> 00:00:48.000]  不如我們給他們掌聲
[00:00:48.000 --> 00:00:49.000]  多謝他們
[00:00:49.000 --> 00:00:50.000]  請他們起來
[00:00:50.000 --> 00:00:52.000]  新的舊的都起來
[00:00:52.000 --> 00:00:53.000]  後面PowerPoint都是
[00:00:53.000 --> 00:00:55.000]  兩位請起來
[00:00:58.000 --> 00:00:59.000]  我們給他們掌聲
[00:00:59.000 --> 00:01:00.000]  多謝他們
[00:01:00.000 --> 00:01:01.000]  請坐
[00:01:01.000 --> 00:01:06.000]  看到他們一直在服侍
[00:01:06.000 --> 00:01:08.000]  我都有很多個回憶
[00:01:08.000 --> 00:01:11.000]  這隊敬拜隊後來改了名
[00:01:11.000 --> 00:01:12.000]  叫Zama
[00:01:12.000 --> 00:01:14.000]  是他們自己建立的
[00:01:14.000 --> 00:01:15.000]  就是讚美神的意思
[00:01:15.000 --> 00:01:17.000]  用歌聲去讚美神的意思
[00:01:17.000 --> 00:01:21.000]  這十年裡經歷了很多高高低低
[00:01:21.000 --> 00:01:23.000]  隊員有出入
[00:01:23.000 --> 00:01:24.000]  不同的人
[00:01:24.000 --> 00:01:26.000]  但有些仍然堅守崗位
[00:01:26.000 --> 00:01:27.000]  有新加入
