
[00:00:00.000 --> 00:00:02.000]  沒錯,就像詩歌所說
[00:00:02.000 --> 00:00:05.320]  但願我們一生都將我們的生命
[00:00:05.320 --> 00:00:06.820]  俯伏在神的面前
[00:00:06.820 --> 00:00:10.240]  去敬拜這位愛我們天上的阿爸父
[00:00:10.240 --> 00:00:12.040]  因為詩歌正正就是上年
[00:00:12.040 --> 00:00:15.320]  我也是在講父親節的時候選的回應詩
[00:00:15.320 --> 00:00:16.840]  轉眼間又一年了
[00:00:16.840 --> 00:00:20.680]  感恩今年又是我跟大家分享父親節的訊息
[00:00:20.680 --> 00:00:23.480]  16年在恩福的日子
[00:00:23.480 --> 00:00:26.200]  其實我已經很多次在父親節靜悼
[00:00:26.200 --> 00:00:26.920]  我也很感恩
[00:00:26.920 --> 00:00:28.040]  中堂的團隊給我
[00:00:28.040 --> 00:00:29.760]  今天又可以跟大家分享
[00:00:29.760 --> 00:00:32.840]  由昔日兩個女兒幾歲
[00:00:32.840 --> 00:00:35.720]  到現在已經差不多比我高了
[00:00:35.720 --> 00:00:37.480]  我發覺不同的人生階段
[00:00:37.480 --> 00:00:40.160]  我自己也是學習做一個父親
[00:00:40.160 --> 00:00:43.400]  連小女兒也快升讀大學了
[00:00:43.400 --> 00:00:45.200]  不同的階段
[00:00:45.200 --> 00:00:47.160]  我自己也有很多的學習
[00:00:47.160 --> 00:00:49.560]  為人父親有很多的心路歷程
[00:00:49.560 --> 00:00:51.680]  我相信在座很多弟兄都明白
[00:00:51.680 --> 00:00:55.160]  最近我在不少恩福的弟兄姐妹口中
[00:00:55.160 --> 00:00:58.320]  也發現有一個大家共同的關注
[00:00:58.320 --> 00:01:00.560]  就是我們的兒女開始長大了
[00:01:00.560 --> 00:01:05.840]  無論你的子女可能是小學、中學、大學
[00:01:05.840 --> 00:01:07.640]  甚至開始工作了
[00:01:07.640 --> 00:01:10.120]  或者有些已經成家立室了
[00:01:10.120 --> 00:01:12.800]  都出現了一樣我們很擔心的事情
[00:01:12.800 --> 00:01:15.840]  就是發現我們當中
[00:01:15.840 --> 00:01:19.960]  有很多我們的兒女慢慢地離開了教會
[00:01:19.960 --> 00:01:21.880]  離開了信仰的群體
[00:01:21.880 --> 00:01:26.760]  甚至有時候好像跟未信主的人沒有什麼分別
[00:01:26.760 --> 00:01:30.160]  我聽到不止一個弟兄的分享
[00:01:30.160 --> 00:01:33.880]  而我們當中有不少的領袖、組長、執事
[00:01:33.880 --> 00:01:35.680]  甚至牧者,我們的下一代
[00:01:35.680 --> 00:01:38.880]  所謂信二代或者信三代
[00:01:38.880 --> 00:01:42.720]  我們當中原來在屬靈上有很多問題
[00:01:42.720 --> 00:01:45.000]  沒錯,經歷過過去這幾年
[00:01:45.000 --> 00:01:47.920]  社會的事件、疫情、移民潮
[00:01:47.920 --> 00:01:50.120]  這一刻我相信不單是恩福
[00:01:50.120 --> 00:01:51.920]  是香港普遍的教會
[00:01:51.920 --> 00:01:53.480]  最缺乏的是什麼呢?
[00:01:53.480 --> 00:01:55.000]  就是你看看你旁邊
[00:01:55.000 --> 00:02:00.480]  有沒有一些是二十歲到三十歲的
[00:02:00.480 --> 00:02:02.920]  我猜到,我不會叫大家舉手
[00:02:02.920 --> 00:02:03.920]  當然你們可能說
[00:02:03.920 --> 00:02:07.080]  「我很多,昨晚翻了標籤」
[00:02:07.080 --> 00:02:08.640]  但其實我相信不單是恩福
[00:02:08.640 --> 00:02:10.360]  很多的教會
[00:02:10.360 --> 00:02:12.880]  我們都是年長的越來越多
[00:02:12.880 --> 00:02:14.280]  年幼的又開始多了
[00:02:14.280 --> 00:02:16.760]  但中間一些年青人
[00:02:16.760 --> 00:02:19.360]  可能剛剛大學畢業,剛剛出來工作
[00:02:19.360 --> 00:02:21.880]  其實他們都經歷很多的艱難
[00:02:21.880 --> 00:02:23.560]  面對很多的挑戰
[00:02:23.560 --> 00:02:25.760]  所以今天很想和大家分享
[00:02:25.760 --> 00:02:27.000]  作為一個父親
[00:02:27.000 --> 00:02:30.200]  如何為我們信二代和信三代
[00:02:30.200 --> 00:02:32.800]  去守望和禱告
[00:02:32.800 --> 00:02:36.720]  蔡元文醫生是一個我很尊敬的父親
[00:02:36.720 --> 00:02:38.920]  他有一本書叫《從未遇上的父親》
[00:02:38.920 --> 00:02:40.920]  三十多年前的觀察
[00:02:40.920 --> 00:02:43.920]  可以說到今天仍然值得我們反思
[00:02:43.920 --> 00:02:44.640]  蔡醫是這樣說的
[00:02:44.640 --> 00:02:47.200]  他說現代人最忽略的是什麼呢?
[00:02:47.200 --> 00:02:49.560]  靈性的成長
[00:02:49.560 --> 00:02:51.200]  三十年前已經說了
[00:02:51.200 --> 00:02:53.200]  這也是現代人的悲哀
[00:02:53.200 --> 00:02:54.520]  物質豐裕
[00:02:54.520 --> 00:02:56.960]  心靈卻是貧乏的
[00:02:56.960 --> 00:02:58.400]  對人生的方向
[00:02:58.400 --> 00:02:59.440]  生死的意義
[00:02:59.440 --> 00:03:00.280]  價值的取向
[00:03:00.280 --> 00:03:02.000]  都全盤的動搖
[00:03:02.000 --> 00:03:03.680]  西方的宗教信仰出現了低潮
[00:03:03.680 --> 00:03:05.480]  不少的年輕人向東望
[00:03:05.480 --> 00:03:06.600]  說到三十年前
[00:03:06.600 --> 00:03:08.440]  學習東方的神秘主義
[00:03:08.440 --> 00:03:10.560]  產生所謂New Age Movement
[00:03:10.560 --> 00:03:11.720]  現在已經不是New Age了
[00:03:11.720 --> 00:03:13.640]  已經經歷了很多代的轉變
[00:03:13.640 --> 00:03:14.920]  在香港的年青人當中
[00:03:14.920 --> 00:03:16.840]  都出現了宗教熱潮
[00:03:16.840 --> 00:03:19.000]  有些是從基督教尋求出路
[00:03:19.000 --> 00:03:20.120]  但也有些
[00:03:20.120 --> 00:03:22.040]  我相信三十年後的今天也是
[00:03:22.040 --> 00:03:25.680]  星座、占卜、神打、蝶仙、風水、掌相
[00:03:25.680 --> 00:03:27.080]  各種傳統的信仰
[00:03:27.080 --> 00:03:28.160]  民間中央
[00:03:28.160 --> 00:03:30.600]  尋求心靈上的滿足
[00:03:30.600 --> 00:03:31.600]  所以塞爾說到
[00:03:31.600 --> 00:03:33.800]  屬靈的導師很難求
[00:03:33.800 --> 00:03:36.760]  因為他必須要認識創造天地萬物的真神
[00:03:36.760 --> 00:03:40.680]  並且親身體驗過天父的慈愛
[00:03:40.680 --> 00:03:41.360]  塞爾就是這麼說
[00:03:41.360 --> 00:03:41.840]  他說
[00:03:41.840 --> 00:03:43.640]  我自己有幸接觸到好幾位
[00:03:43.640 --> 00:03:45.160]  由生命來涵
[00:03:45.160 --> 00:03:47.880]  信仰有深度的屬靈長者
[00:03:47.880 --> 00:03:49.840]  他們給我的啟發和引導
[00:03:49.840 --> 00:03:52.960]  是衷心感激的
[00:03:52.960 --> 00:03:55.760]  我相信這可能也是我們的心聲
[00:03:55.760 --> 00:03:56.600]  看到我們的兒女
[00:03:56.600 --> 00:03:57.840]  可能也經歷了很多
[00:03:57.840 --> 00:03:59.480]  世界上很多的挑戰
[00:03:59.480 --> 00:04:00.720]  又或者應該這麼說
[00:04:00.720 --> 00:04:03.600]  我們其實也要在主裡面學習
[00:04:03.600 --> 00:04:05.000]  怎樣去成為
[00:04:05.000 --> 00:04:06.160]  好像塞爾所說的
[00:04:06.160 --> 00:04:08.080]  一個有生命來涵
[00:04:08.080 --> 00:04:09.400]  你看看你旁邊那個跟他說
[00:04:09.400 --> 00:04:11.920]  你有沒有生命來涵啊?
[00:04:11.920 --> 00:04:14.360]  信仰有沒有深度啊?
[00:04:14.360 --> 00:04:15.960]  我們也要期盼
[00:04:15.960 --> 00:04:17.840]  我們在信仰裡面有這件事
[00:04:17.840 --> 00:04:19.840]  這個也好像是史圖保羅的教導
[00:04:19.840 --> 00:04:22.120]  在哥倫多前書4章15字
[00:04:22.120 --> 00:04:23.440]  我們一起讀好不好?
[00:04:23.440 --> 00:04:27.560]  「雖然你們在基督裡有無數的導師
[00:04:27.560 --> 00:04:30.040]  卻沒有許多父親
[00:04:30.040 --> 00:04:32.480]  因我是在基督耶穌裡
[00:04:32.480 --> 00:04:34.720]  用福音生了你們」
[00:04:34.720 --> 00:04:36.320]  這個和修版
[00:04:36.320 --> 00:04:38.040]  我們有時候也會說
[00:04:38.040 --> 00:04:39.440]  為父的不多
[00:04:39.440 --> 00:04:42.000]  師父就好像萬萬一樣
[00:04:42.000 --> 00:04:43.560]  不過其實你想一下
[00:04:43.560 --> 00:04:45.080]  保羅是適合哥倫多教會的
[00:04:45.080 --> 00:04:45.880]  屬靈的父親
[00:04:45.880 --> 00:04:47.440]  他不僅將福音傳給他們
[00:04:47.440 --> 00:04:49.240]  更加去悉心侮仰他們
[00:04:49.240 --> 00:04:50.800]  這段經文說
[00:04:50.800 --> 00:04:51.640]  無數的導師
[00:04:51.640 --> 00:04:52.800]  我相信我們今天教會
[00:04:52.800 --> 00:04:54.000]  導師也不太夠
[00:04:54.000 --> 00:04:55.080]  所以更加
[00:04:55.080 --> 00:04:55.560]  弟兄姊妹
[00:04:55.560 --> 00:04:58.520]  我們也要成為一個屬靈的父親
[00:04:58.520 --> 00:05:01.280]  和一個屬靈的母親
[00:05:01.280 --> 00:05:03.760]  今天早上就讓我們一起去學習
[00:05:03.760 --> 00:05:06.000]  怎樣透過主耶穌講解
[00:05:06.000 --> 00:05:08.360]  可能你也聽了很多次
[00:05:08.360 --> 00:05:09.960]  浪子回頭的故事
[00:05:09.960 --> 00:05:13.200]  怎樣學習一個為父的心
[00:05:13.200 --> 00:05:14.560]  讓我們一起同心投靈
[00:05:16.760 --> 00:05:18.000]  真是天上的阿爸父
[00:05:18.000 --> 00:05:19.440]  我們呼求你
[00:05:19.440 --> 00:05:21.120]  今天面對迷失的一代
[00:05:21.120 --> 00:05:22.800]  不單止年輕人
[00:05:22.800 --> 00:05:24.720]  其實可能我們自己也有迷失
[00:05:24.720 --> 00:05:26.280]  我們可能在信仰上
[00:05:26.280 --> 00:05:28.920]  也有很多的掙扎
[00:05:28.920 --> 00:05:30.920]  求你今天直著你的聖道
[00:05:30.920 --> 00:05:31.720]  引領我們
[00:05:31.720 --> 00:05:32.920]  讓我們看到
[00:05:32.920 --> 00:05:33.640]  天上的父
[00:05:33.640 --> 00:05:34.800]  怎樣每一天
[00:05:34.800 --> 00:05:37.200]  都為我們每一個代禱
[00:05:37.200 --> 00:05:39.240]  每一個我們屬你的人
[00:05:39.240 --> 00:05:42.640]  都歸回主你的陽圈當中
[00:05:42.640 --> 00:05:43.640]  主讓你知道
[00:05:43.640 --> 00:05:45.400]  我們的心是掛念的
[00:05:45.400 --> 00:05:46.880]  求你幫助我們
[00:05:46.880 --> 00:05:48.600]  直著聖靈你自己的引領
[00:05:48.600 --> 00:05:50.520]  讓我們今天一起學習
[00:05:50.520 --> 00:05:52.280]  怎樣像天父一樣
[00:05:52.280 --> 00:05:54.120]  成為一個屬靈的父
[00:05:54.120 --> 00:05:55.040]  垂聽我們的禱告
[00:05:55.040 --> 00:05:56.720]  奉主耶穌基督的聖名祈求
[00:05:56.720 --> 00:05:57.640]  阿們
[00:05:57.640 --> 00:06:00.680]  讓我們進入今天講道的第一點
[00:06:00.680 --> 00:06:01.920]  慈心憐憫的父
[00:06:01.920 --> 00:06:05.200]  《路加福音》十五章
[00:06:05.200 --> 00:06:06.600]  我們一起讀十一至二十節
[00:06:06.600 --> 00:06:07.760]  一二三
[00:06:07.760 --> 00:06:09.080]  耶穌說
[00:06:09.080 --> 00:06:11.360]  一個人有兩個兒子
[00:06:11.360 --> 00:06:13.360]  小兒子對父親說
[00:06:13.360 --> 00:06:17.440]  父親請你把我應得的家業分給我
[00:06:17.440 --> 00:06:20.720]  他父親就把財產分給他們
[00:06:20.720 --> 00:06:22.520]  過了不多幾天
[00:06:22.520 --> 00:06:25.120]  小兒子把他一切所有的
[00:06:25.120 --> 00:06:26.680]  都收拾起來
[00:06:26.680 --> 00:06:28.920]  往遠方去了
[00:06:28.920 --> 00:06:30.080]  在那裡
[00:06:30.080 --> 00:06:32.040]  他任意放蕩
[00:06:32.040 --> 00:06:33.640]  浪費錢財
[00:06:33.640 --> 00:06:36.120]  他耗盡了一切所有的
[00:06:36.120 --> 00:06:39.280]  又克縫那地方有大饑荒
[00:06:39.280 --> 00:06:41.280]  就窮困起來
[00:06:41.280 --> 00:06:44.960]  於是他去投靠當地的一個居民
[00:06:44.960 --> 00:06:49.080]  那人打發他到田裡去放豬
[00:06:49.080 --> 00:06:53.280]  他恨不得拿豬所吃的豆鴿充饑
[00:06:53.280 --> 00:06:56.360]  也沒有人給他什麼吃的
[00:06:56.360 --> 00:06:58.720]  他醒不過來就說
[00:06:58.720 --> 00:07:01.240]  我父親有多少故宮
[00:07:01.240 --> 00:07:02.680]  糧食有餘
[00:07:02.680 --> 00:07:05.400]  我倒在這裡餓死嗎
[00:07:05.400 --> 00:07:06.800]  我要起來
[00:07:06.800 --> 00:07:08.720]  到我父親那裡去
[00:07:08.720 --> 00:07:09.880]  對他說
[00:07:09.880 --> 00:07:12.120]  父親我得罪了天
[00:07:12.120 --> 00:07:14.360]  又得罪了你
[00:07:14.360 --> 00:07:16.000]  從今以後
[00:07:16.000 --> 00:07:18.680]  我不配稱為你的兒子
[00:07:18.680 --> 00:07:21.400]  把我當作一個故宮罷
[00:07:21.400 --> 00:07:23.040]  於是他起來
[00:07:23.040 --> 00:07:25.160]  往他父親那裡去
[00:07:25.160 --> 00:07:26.880]  相離還遠
[00:07:26.880 --> 00:07:28.480]  他父親看見
[00:07:28.480 --> 00:07:30.320]  就動了持心
[00:07:30.320 --> 00:07:32.280]  跑去擁抱著他
[00:07:32.280 --> 00:07:34.280]  連連親他
[00:07:34.280 --> 00:07:35.680]  我們很多時候叫
[00:07:35.680 --> 00:07:36.640]  《路加福音》十五章
[00:07:36.640 --> 00:07:38.600]  這裡就是浪子回頭的教導
[00:07:38.600 --> 00:07:40.600]  如果你上過諸學或查經
[00:07:40.600 --> 00:07:41.440]  你也知道
[00:07:41.440 --> 00:07:44.320]  其實當中浪子並不是主角
[00:07:44.320 --> 00:07:46.120]  不過如果你要知道整卷
[00:07:46.120 --> 00:07:47.840]  可以說《路加福音》十五章
[00:07:47.840 --> 00:07:49.680]  我們要一起整章去看
[00:07:49.680 --> 00:07:52.280]  你就知道當中的主旨是什麼
[00:07:52.280 --> 00:07:53.840]  特別是當主耶穌分享到
[00:07:53.840 --> 00:07:55.960]  浪子回頭這個故事的時候
[00:07:55.960 --> 00:07:56.880]  小兒子
[00:07:56.880 --> 00:07:58.160]  即是所謂的浪子
[00:07:58.160 --> 00:07:58.840]  並不是主角
[00:07:58.840 --> 00:08:00.600]  我們看一下十五章一開始
[00:08:00.600 --> 00:08:01.720]  一至三節
[00:08:01.720 --> 00:08:02.760]  其實那個背景
[00:08:02.760 --> 00:08:03.680]  你會更加明白
[00:08:03.680 --> 00:08:05.800]  其實當中的含義是什麼
[00:08:05.800 --> 00:08:06.760]  在《路加福音》十五章
[00:08:06.760 --> 00:08:08.280]  一至三節一起讀
[00:08:08.280 --> 00:08:10.800]  許多稅吏和罪人
[00:08:10.800 --> 00:08:12.560]  都哀懇耶穌
[00:08:12.560 --> 00:08:14.600]  要聽他講道
[00:08:14.600 --> 00:08:16.440]  伐利賽人和民事
[00:08:16.440 --> 00:08:18.600]  私下議論說
[00:08:18.600 --> 00:08:20.920]  這個人接納罪人
[00:08:20.920 --> 00:08:23.000]  又同他們吃飯
[00:08:23.000 --> 00:08:26.400]  耶穌就用比喻對他們說
[00:08:26.400 --> 00:08:27.160]  沒錯,一開始
[00:08:27.160 --> 00:08:30.360]  你看到十五章一開始的對象
[00:08:30.360 --> 00:08:31.720]  當然待會我們看
[00:08:31.720 --> 00:08:33.920]  浪子的教導就是小兒子
[00:08:33.920 --> 00:08:34.800]  即是好像比喻為
[00:08:34.800 --> 00:08:37.040]  當時的稅吏和罪人
[00:08:37.040 --> 00:08:39.480]  同樣他們可能是一批
[00:08:39.480 --> 00:08:41.280]  本來在救恩以外的外邦人
[00:08:41.280 --> 00:08:42.520]  但是另外大兒子
[00:08:42.520 --> 00:08:43.480]  我們待會看到
[00:08:43.480 --> 00:08:45.520]  可以說就是這裡
[00:08:45.520 --> 00:08:47.040]  不斷去質疑耶穌的
[00:08:47.040 --> 00:08:48.840]  一些伐利賽人和民事
[00:08:48.840 --> 00:08:50.520]  其實面對這兩群人
[00:08:50.520 --> 00:08:52.400]  耶穌就在十五章
[00:08:52.400 --> 00:08:55.200]  未開始講浪子回頭的故事之前
[00:08:55.200 --> 00:08:57.480]  先講了另外兩個的比喻
[00:08:57.480 --> 00:08:59.400]  第一個比喻就是
[00:08:59.400 --> 00:09:01.360]  失楊的比喻
[00:09:01.360 --> 00:09:02.760]  然後第二個比喻就是
[00:09:02.760 --> 00:09:05.280]  講到失錢的比喻
[00:09:05.280 --> 00:09:08.680]  第三個才是今天我們講浪子回頭
[00:09:08.680 --> 00:09:10.600]  失紙的比喻
[00:09:10.600 --> 00:09:11.920]  第一個的比喻
[00:09:11.920 --> 00:09:14.360]  或者這三個比喻都可以說
[00:09:14.360 --> 00:09:18.920]  其實重心是天上父神對世人的愛
[00:09:18.920 --> 00:09:19.720]  第一個失楊的
[00:09:19.720 --> 00:09:20.360]  你很記得了
[00:09:20.360 --> 00:09:22.880]  牧羊人甘願付出一切代價
[00:09:22.880 --> 00:09:24.400]  找回
[00:09:24.400 --> 00:09:25.360]  放下那九十九隻
[00:09:25.360 --> 00:09:27.240]  找回那隻迷羊
[00:09:27.240 --> 00:09:28.720]  第二個失錢的比喻就是
[00:09:28.720 --> 00:09:30.000]  啊,錢不見了
[00:09:30.000 --> 00:09:32.160]  於是那個人就不惜點燈
[00:09:32.160 --> 00:09:33.360]  打數
[00:09:33.360 --> 00:09:34.960]  仔細的去尋回
[00:09:34.960 --> 00:09:37.840]  而第三個浪子回頭的故事更加凸顯了
[00:09:37.840 --> 00:09:40.320]  就是父親對兩個兒子的關愛
[00:09:40.320 --> 00:09:42.200]  所以三個比喻
[00:09:42.200 --> 00:09:45.000]  其實都是指向天上的父親
[00:09:45.000 --> 00:09:49.000]  是在講神有豐盛的慈愛、恩典和拯救
[00:09:49.000 --> 00:09:51.240]  但好像我們一開始就說
[00:09:51.240 --> 00:09:54.320]  浪子回頭比喻的真正主角是誰呢?
[00:09:54.320 --> 00:09:55.520]  不是浪子
[00:09:55.520 --> 00:09:57.360]  而是故事當中的父親
[00:09:57.360 --> 00:09:58.920]  所以今天我們就試一下
[00:09:58.920 --> 00:10:00.720]  就在浪子回頭這個比喻裡面
[00:10:00.720 --> 00:10:03.720]  試一下從父親的角度去看
[00:10:03.720 --> 00:10:05.000]  可能很多時候你都會想
[00:10:05.000 --> 00:10:06.400]  我是不是小兒子
[00:10:06.400 --> 00:10:07.760]  或者我是不是大兒子
[00:10:07.760 --> 00:10:09.680]  今天我們試一下從父親的角度
[00:10:09.680 --> 00:10:11.640]  不過在講之前我們先看看
[00:10:11.640 --> 00:10:13.600]  小兒子究竟做了什麼
[00:10:13.600 --> 00:10:14.360]  你很熟悉的
[00:10:14.360 --> 00:10:15.720]  我們很快去講一下
[00:10:15.720 --> 00:10:17.400]  究竟他做了什麼
[00:10:17.400 --> 00:10:19.520]  我用四個A來串連了
[00:10:19.520 --> 00:10:22.080]  我們剛剛在開始讀的那幾節經文
[00:10:22.080 --> 00:10:22.840]  第一
[00:10:22.840 --> 00:10:23.560]  Away
[00:10:23.560 --> 00:10:25.360]  離家
[00:10:25.360 --> 00:10:26.960]  我們剛開始讀了
[00:10:26.960 --> 00:10:28.000]  耶穌講了一個比喻
[00:10:28.000 --> 00:10:29.360]  就是一個人有兩個兒子
[00:10:29.360 --> 00:10:30.440]  小兒子就跟父親說
[00:10:30.440 --> 00:10:33.160]  父親,請把我應得的家業分給我
[00:10:33.160 --> 00:10:35.560]  他父親就把財產分給他們
[00:10:35.560 --> 00:10:36.400]  過了不多幾天
[00:10:36.400 --> 00:10:38.640]  小兒子把他一切所有的都收拾起來
[00:10:38.640 --> 00:10:39.680]  然後什麼
[00:10:39.680 --> 00:10:42.240]  往遠方去了
[00:10:42.240 --> 00:10:43.160]  對了,沒錯了
[00:10:43.160 --> 00:10:44.880]  故事一開始就是講這個小兒子
[00:10:44.880 --> 00:10:46.960]  要跟爸爸分家產
