
[00:00:00.000 --> 00:00:02.120]  不知道你們剛才是否覺得這個場地
[00:00:02.120 --> 00:00:03.320]  很溫暖
[00:00:03.320 --> 00:00:04.760]  不知道你們知道原因嗎
[00:00:04.760 --> 00:00:08.360]  因為上帝的愛在這裡
[00:00:08.360 --> 00:00:10.480]  盼望上帝的愛也充滿我們
[00:00:10.480 --> 00:00:13.280]  讓我們這個群體很暖和
[00:00:13.280 --> 00:00:16.120]  今天是青少主日
[00:00:16.120 --> 00:00:18.080]  我相信大家剛才進來時
[00:00:18.080 --> 00:00:21.400]  看到有很多師士和敬拜隊
[00:00:21.400 --> 00:00:22.680]  還有AV隊
[00:00:22.680 --> 00:00:26.440]  他們在青少會中預備了很久
[00:00:26.440 --> 00:00:28.160]  很想今天去服侍大家
[00:00:28.240 --> 00:00:31.000]  不如我們借你們的掌聲鼓勵他們
[00:00:31.000 --> 00:00:37.800]  再次介紹一下自己
[00:00:37.800 --> 00:00:40.400]  我是青少部的童工Claire
[00:00:40.400 --> 00:00:42.840]  很開心今天能夠在這裡
[00:00:42.840 --> 00:00:45.240]  跟大家分享上帝的說話
[00:00:45.240 --> 00:00:50.920]  不知道你們曾經跟年輕人聊天嗎
[00:00:50.920 --> 00:00:55.760]  我接觸一群年輕人時會有一種體會
[00:00:55.840 --> 00:00:59.160]  當你問他們最近如何的時候
[00:00:59.160 --> 00:01:00.400]  他們可能會回答
[00:01:00.400 --> 00:01:03.280]  「沒甚麼,還可以」
[00:01:03.280 --> 00:01:06.080]  撇除真心不說的那些
[00:01:06.080 --> 00:01:07.560]  其實你多問幾句
[00:01:07.560 --> 00:01:09.600]  多關心他們幾次的時候
[00:01:09.600 --> 00:01:13.760]  你會發現他們心裡有很多東西
[00:01:13.760 --> 00:01:16.520]  可能因為有太多太多的東西
[00:01:16.520 --> 00:01:17.560]  以致他們那一刻
[00:01:17.560 --> 00:01:18.760]  你問他們的時候
[00:01:18.760 --> 00:01:20.200]  他們還未能消化
[00:01:20.200 --> 00:01:22.040]  不知道要說甚麼好
[00:01:22.040 --> 00:01:24.080]  只能說「還可以」
[00:01:24.640 --> 00:01:28.440]  或許是因為他們的學業、生活
[00:01:28.440 --> 00:01:33.080]  忙得連觸碰自己的情緒也沒有空間
[00:01:33.080 --> 00:01:36.480]  所以一句「還可以,沒甚麼」
[00:01:36.480 --> 00:01:38.200]  其實也是一個保護
[00:01:38.200 --> 00:01:40.680]  他們不想去挑剔自己的東西
[00:01:40.680 --> 00:01:45.200]  記得有一次跟一位初中團友的爸爸聊天
[00:01:45.200 --> 00:01:47.720]  他說女兒現在是初中
[00:01:47.720 --> 00:01:49.840]  但他說女兒每天的行程
[00:01:49.840 --> 00:01:53.400]  一星期的行程比上班的他更忙
[00:01:54.400 --> 00:01:57.480]  我想在2024年
[00:01:57.480 --> 00:02:01.560]  當中有很多不同的調查顯示
[00:02:01.560 --> 00:02:03.240]  有一段說到學童
[00:02:03.240 --> 00:02:06.480]  香港的學童,不論是小學、中學生
