
[00:00:00.000 --> 00:00:02.000]  大家早安
[00:00:02.000 --> 00:00:06.000]  可能我對某些你們都是生面孔的
[00:00:06.000 --> 00:00:10.000]  因為我一年前離開了青少部
[00:00:10.000 --> 00:00:14.000]  所以我不是經常會在這裡
[00:00:14.000 --> 00:00:16.000]  哪些是中一的?
[00:00:16.000 --> 00:00:18.000]  剛剛升上來的?很多的你們
[00:00:18.000 --> 00:00:22.000]  可能你們不認識我,我叫Florence
[00:00:22.000 --> 00:00:26.000]  多多指教,來到你們的家
[00:00:26.000 --> 00:00:28.000]  很開心,因為青少部就是一個這樣的地方
[00:00:28.000 --> 00:00:31.000]  每年都會有一班新的朋友來
[00:00:31.000 --> 00:00:34.000]  有一班舊的朋友離開
[00:00:34.000 --> 00:00:36.000]  青少部就是這樣,每年都是這樣
[00:00:36.000 --> 00:00:40.000]  其實很開心,因為見到有新血,新朋友
[00:00:40.000 --> 00:00:44.000]  好像這個星期原來有一班新的服務人員
[00:00:44.000 --> 00:00:47.000]  第一次服務,參與服務團隊
[00:00:47.000 --> 00:00:48.000]  都是很開心
[00:00:48.000 --> 00:00:52.000]  我猜當中也有中一新的導師在我們裡面
[00:00:52.000 --> 00:00:54.000]  所以有新年,真是很好的
[00:00:54.000 --> 00:00:59.000]  我開始之前有個祈禱
[00:00:59.000 --> 00:01:01.000]  青少部我們感謝你
[00:01:01.000 --> 00:01:03.000]  生命是你所賜的
[00:01:03.000 --> 00:01:06.000]  你給我們香港人
[00:01:06.000 --> 00:01:08.000]  每年有兩個新年,一個是中國新年
[00:01:08.000 --> 00:01:10.000]  有三個,一個是外國新年
[00:01:10.000 --> 00:01:12.000]  一個就是開學新年
[00:01:12.000 --> 00:01:14.000]  我們有很多新的開始
[00:01:14.000 --> 00:01:16.000]  但願我們都去認定每一個新的開始
[00:01:16.000 --> 00:01:18.000]  都是你給的時候
[00:01:18.000 --> 00:01:20.000]  我們每一個新的開始都是學習
[00:01:20.000 --> 00:01:23.000]  去選擇在走在你的路裡面
[00:01:23.000 --> 00:01:25.000]  今天願你的說話
[00:01:25.000 --> 00:01:27.000]  再次幫助我們
[00:01:27.000 --> 00:01:29.000]  去如何去選擇
[00:01:29.000 --> 00:01:33.000]  以致我們的生命可以活在你裡面
[00:01:33.000 --> 00:01:35.000]  我們求你開我們的心
[00:01:35.000 --> 00:01:36.000]  就好像詩歌一樣
[00:01:36.000 --> 00:01:38.000]  我們的心開給你的時候
[00:01:38.000 --> 00:01:41.000]  你的說話就進入我們的心裡面
[00:01:41.000 --> 00:01:42.000]  求你幫助
[00:01:42.000 --> 00:01:45.000]  我們以上的禱告奉主明求,阿門
[00:01:45.000 --> 00:01:49.000]  今個月青少部的主題是堅持
[00:01:49.000 --> 00:01:52.000]  所以我又說一下堅持
[00:01:52.000 --> 00:01:55.000]  說一下我堅持的東西
[00:01:55.000 --> 00:01:57.000]  就是由去年開始
[00:01:57.000 --> 00:01:59.000]  我認識了一個叔叔
