
[00:00:00.000 --> 00:00:03.660]  香港在過去這幾年裡
[00:00:03.660 --> 00:00:06.260]  其實都經歷了很多事情
[00:00:06.260 --> 00:00:09.380]  我不知道大家有沒有同感
[00:00:09.380 --> 00:00:11.940]  無論是社會的事件
[00:00:11.940 --> 00:00:16.420]  都令到我們人與人之間都造成很多張力
[00:00:16.420 --> 00:00:18.780]  三年多的疫情
[00:00:18.780 --> 00:00:20.580]  亦都令到很多人
[00:00:20.580 --> 00:00:23.100]  活在很多恐懼裡
[00:00:23.100 --> 00:00:25.500]  很害怕自己會確診
[00:00:25.500 --> 00:00:27.020]  又或者很擔心
[00:00:27.020 --> 00:00:29.820]  確診之後會是怎樣的呢?
[00:00:29.820 --> 00:00:31.500]  不知道在座當中
[00:00:31.500 --> 00:00:36.380]  你會不會都曾經有這樣的經歷和一種感覺呢?
[00:00:36.380 --> 00:00:41.420]  可能有很多人因為很害怕去確診的時候
[00:00:41.420 --> 00:00:43.420]  亦都不敢去外出
[00:00:43.420 --> 00:00:47.300]  令到人與人之間在疫情裡
[00:00:47.300 --> 00:00:50.300]  人的關係變得很疏離
[00:00:50.300 --> 00:00:53.620]  甚至連自己一些很親的人
[00:00:53.620 --> 00:00:57.100]  可能都要隔一段很長的時間
[00:00:57.100 --> 00:01:00.020]  我們才能夠有機會聚在一起
[00:01:00.020 --> 00:01:01.940]  能夠一起去吃飯
[00:01:01.940 --> 00:01:04.500]  一起去聊天
[00:01:04.500 --> 00:01:06.820]  而且在疫情期間裡
[00:01:06.820 --> 00:01:12.500]  亦都多了很多人的情緒出現了一些問題
[00:01:12.500 --> 00:01:15.060]  特別是一些年長的長者
[00:01:15.060 --> 00:01:18.380]  又或者一些長期的病患者
[00:01:18.380 --> 00:01:22.140]  幾年的疫情亦都令到全球的經濟
[00:01:22.140 --> 00:01:25.500]  受到一個很大的影響
[00:01:25.500 --> 00:01:29.140]  加上港人的移民的問題
