
[00:00:00.000 --> 00:00:07.400]  自從我去了職稱「老職團契服侍」的時候
[00:00:07.400 --> 00:00:11.000]  我出席多了喪禮
[00:00:11.000 --> 00:00:13.500]  出席了多了喪禮
[00:00:13.500 --> 00:00:16.000]  我不介意出席喪禮
[00:00:16.000 --> 00:00:18.000]  我覺得也是值得出席的
[00:00:18.000 --> 00:00:22.000]  因為我覺得可以跟哀哭的人哀哭
[00:00:22.000 --> 00:00:27.000]  但更加我覺得因為喪禮可以幫我去面對死亡
[00:00:27.000 --> 00:00:32.000]  因為面對死亡其實就是面對生命
[00:00:32.000 --> 00:00:35.000]  所以我覺得去喪禮是有益的
[00:00:35.000 --> 00:00:37.000]  基督徒可能好一點
[00:00:37.000 --> 00:00:41.000]  不過其實基督徒都未必可以很願意
[00:00:41.000 --> 00:00:44.000]  或者很敢去面對死亡
[00:00:44.000 --> 00:00:47.000]  就算基督徒有永生盼望
[00:00:47.000 --> 00:00:51.000]  我們面對生離死別其實都是會有傷感
[00:00:51.000 --> 00:00:57.000]  不會就算是基督徒都不會開派對慶祝死亡
[00:00:57.000 --> 00:01:02.000]  我們面對死亡怎樣都是有恐懼有傷感
[00:01:02.000 --> 00:01:09.000]  但偏偏100%的人100%都是要死的
[00:01:09.000 --> 00:01:12.000]  就算有某個國家的元首說
[00:01:12.000 --> 00:01:15.000]  可能可以製造到不知道什麼器官
[00:01:15.000 --> 00:01:17.000]  可以活到一百不知多少歲
[00:01:17.000 --> 00:01:20.000]  每個人都是要面對死亡
[00:01:20.000 --> 00:01:25.000]  而聖經說其實面對死亡是一件有益的事
[00:01:25.000 --> 00:01:29.000]  面對死亡是一件有益的事
[00:01:29.000 --> 00:01:33.000]  去喪禮是一件有益的事
[00:01:33.000 --> 00:01:37.000]  我有兩個喪禮對我有特別的提醒
[00:01:37.000 --> 00:01:41.000]  第一個就是一個老人家的安息禮
[00:01:41.000 --> 00:01:45.000]  這位老人家其實一直都不是基督徒
[00:01:45.000 --> 00:01:50.000]  他家人一直都很忠心地向他不斷分享福音
[00:01:50.000 --> 00:01:52.000]  邀請他信耶穌
[00:01:52.000 --> 00:01:56.000]  但他一直都沒有表示清楚其實他信還是不信
[00:01:56.000 --> 00:01:59.000]  後來老人家就病了進了醫院
[00:01:59.000 --> 00:02:02.000]  有同工有傳道人就去醫院探望他
[00:02:02.000 --> 00:02:04.000]  再次邀請他信耶穌
[00:02:04.000 --> 00:02:08.000]  他都沒有直接推或者信
[00:02:08.000 --> 00:02:10.000]  總之就是不知道是不是中國人
[00:02:10.000 --> 00:02:13.000]  總之就是不推你但也沒有說信
[00:02:13.000 --> 00:02:16.000]  到了後來的彌留狀態
[00:02:16.000 --> 00:02:20.000]  另外有一個牧師就去再探望他
[00:02:20.000 --> 00:02:22.000]  再邀請他信耶穌
[00:02:22.000 --> 00:02:26.000]  但其實當時他已經在彌留的狀態
[00:02:26.000 --> 00:02:28.000]  其實都已經完全說不了話
[00:02:28.000 --> 00:02:33.000]  其實都不會給到任何很清晰的反應
[00:02:33.000 --> 00:02:35.000]  最後他去世了
[00:02:35.000 --> 00:02:41.000]  因為同工其實就不太清楚究竟他信了耶穌沒有
[00:02:41.000 --> 00:02:44.000]  就說不如就搞追思禮
[00:02:44.000 --> 00:02:47.000]  就不是搞安息禮
[00:02:47.000 --> 00:02:50.000]  其實要家人去接受或者去想
[00:02:50.000 --> 00:02:53.000]  自己的家人未信主而去世
[00:02:53.000 --> 00:02:55.000]  其實是一件很難的事
[00:02:55.000 --> 00:02:57.000]  很難受的事
[00:02:57.000 --> 00:03:03.000]  不過當日的喪禮就用了安息禮去進行
[00:03:03.000 --> 00:03:06.000]  我出席的時候都打了個凸
[00:03:06.000 --> 00:03:11.000]  後來當日的牧者在分享信息裡面
[00:03:11.000 --> 00:03:16.000]  他就分享當日他怎樣去再次邀請老人家信耶穌的時候
[00:03:16.000 --> 00:03:19.000]  他就見到監察儀
[00:03:19.000 --> 00:03:22.000]  見到他的心臟有不同反應
[00:03:22.000 --> 00:03:24.000]  快了
[00:03:24.000 --> 00:03:26.000]  有反應
[00:03:26.000 --> 00:03:28.000]  他就用了這個
[00:03:28.000 --> 00:03:33.000]  見到的跡象就說老人家是信了主
[00:03:33.000 --> 00:03:35.000]  是接受了
[00:03:35.000 --> 00:03:41.000]  我在台下其實就聽得不是味道
[00:03:41.000 --> 00:03:44.000]  我當然很想老人家是信主
[00:03:44.000 --> 00:03:46.000]  我都無從去確實
[00:03:46.000 --> 00:03:49.000]  我唯有將答案交回給上帝
[00:03:49.000 --> 00:03:53.000]  我覺得唏噓的就是一個人死了之後
[00:03:53.000 --> 00:03:58.000]  要再生的人再世的人幫他去想
[00:03:58.000 --> 00:04:00.000]  到底他是不是信的
[00:04:00.000 --> 00:04:03.000]  到底是搞安息禮還是追思禮好
[00:04:03.000 --> 00:04:08.000]  要用一些跡象去猜他應該是信的
[00:04:08.000 --> 00:04:11.000]  我覺得這一點就令我覺得很唏噓
[00:04:11.000 --> 00:04:13.000]  所以當下我就決志
[00:04:13.000 --> 00:04:14.000]  我就立了個字
[00:04:14.000 --> 00:04:16.000]  我一定要信耶穌
[00:04:16.000 --> 00:04:17.000]  信得很清晰
[00:04:17.000 --> 00:04:19.000]  我不要大家要猜
[00:04:19.000 --> 00:04:22.000]  究竟是幫我搞安息禮還是追思禮
[00:04:22.000 --> 00:04:26.000]  我不可以信到別人要猜
[00:04:26.000 --> 00:04:30.000]  第二個喪禮我去的
[00:04:30.000 --> 00:04:32.000]  給我很大的反思
[00:04:32.000 --> 00:04:37.000]  就是一個朋友的親戚的安息禮
[00:04:37.000 --> 00:04:39.000]  我不認識死者
[00:04:39.000 --> 00:04:41.000]  純粹是陪朋友
[00:04:41.000 --> 00:04:42.000]  去完之後
[00:04:42.000 --> 00:04:44.000]  我的朋友就跟我說
[00:04:44.000 --> 00:04:48.000]  整個安息禮其實令他很不安
[00:04:48.000 --> 00:04:50.000]  令他很不舒服
[00:04:50.000 --> 00:04:52.000]  因為安息禮上
[00:04:52.000 --> 00:04:55.000]  無論是台上講術史
[00:04:55.000 --> 00:04:59.000]  或者是傳道人講關於死者的一生評
[00:04:59.000 --> 00:05:01.000]  講他怎樣好
[00:05:01.000 --> 00:05:05.000]  我這個朋友都完全不能夠認同
[00:05:05.000 --> 00:05:08.000]  他覺得他在台上聽的那個人
[00:05:08.000 --> 00:05:10.000]  不是他認識的那個人
[00:05:10.000 --> 00:05:12.000]  而就是因為這件事
[00:05:12.000 --> 00:05:14.000]  這件事令他更加覺得
[00:05:14.000 --> 00:05:18.000]  這個就是他一直相信認識的親戚
[00:05:18.000 --> 00:05:21.000]  就是雙面人
[00:05:21.000 --> 00:05:25.000]  當然我不知道他究竟發生什麼事
[00:05:25.000 --> 00:05:27.000]  發生過什麼事
[00:05:27.000 --> 00:05:31.000]  或者我都相信不同人就會有不同的觀點與角度
[00:05:31.000 --> 00:05:32.000]  或者經歷
[00:05:32.000 --> 00:05:34.000]  我不置如瓶
[00:05:34.000 --> 00:05:36.000]  不過我聽到
[00:05:36.000 --> 00:05:38.000]  我又心裏面立了一個字
[00:05:38.000 --> 00:05:43.000]  就是我一定要活一個一致和真誠的生命
[00:05:43.000 --> 00:05:45.000]  以致在我安息禮裏面
[00:05:45.000 --> 00:05:48.000]  我是不需要有人分享我生命的時候
[00:05:48.000 --> 00:05:51.000]  台下的你們會聽得很隱移
[00:05:51.000 --> 00:05:53.000]  這個是我的立字
[00:05:53.000 --> 00:05:54.000]  當時
[00:05:54.000 --> 00:05:57.000]  不過我想說其實有機會的
[00:05:57.000 --> 00:05:58.000]  我未必會搞安息禮
[00:05:58.000 --> 00:05:59.000]  Anyway
[00:05:59.000 --> 00:06:00.000]  這個是我的遺言
[00:06:00.000 --> 00:06:01.000]  好了
[00:06:01.000 --> 00:06:02.000]  聽了這麼久
[00:06:02.000 --> 00:06:03.000]  你會覺得
[00:06:03.000 --> 00:06:05.000]  為什麼我講這些
[00:06:05.000 --> 00:06:08.000]  為什麼和你們一班標稱的弟兄姊妹
[00:06:08.000 --> 00:06:12.000]  去講關於死亡和喪禮
[00:06:12.000 --> 00:06:14.000]  你們這樣的年紀
[00:06:14.000 --> 00:06:17.000]  應該是在想婚禮多過喪禮
[00:06:17.000 --> 00:06:19.000]  還有坐在這裏的
[00:06:19.000 --> 00:06:21.000]  應該是在計劃生命
[00:06:21.000 --> 00:06:23.000]  而不是死亡
[00:06:23.000 --> 00:06:25.000]  講事業的
[00:06:25.000 --> 00:06:28.000]  可能你就是在想怎樣去發展你的事業
[00:06:28.000 --> 00:06:29.000]  怎樣升職
[00:06:29.000 --> 00:06:30.000]  轉一份好工作
[00:06:30.000 --> 00:06:33.000]  讀什麼書去增長
[00:06:33.000 --> 00:06:37.000]  去到進修增值
[00:06:37.000 --> 00:06:39.000]  講關係的
[00:06:39.000 --> 00:06:43.000]  我猜大家都可能積極地去找對象
[00:06:43.000 --> 00:06:44.000]  上網也好
[00:06:44.000 --> 00:06:45.000]  去另一間教會也好
[00:06:45.000 --> 00:06:46.000]  不要去另一間教會
[00:06:46.000 --> 00:06:48.000]  都是積極地找對象
[00:06:48.000 --> 00:06:50.000]  但是找到的
[00:06:50.000 --> 00:06:52.000]  應該是在想結婚
[00:06:52.000 --> 00:06:54.000]  可能就在想生子
[00:06:54.000 --> 00:06:55.000]  不想生子的
[00:06:55.000 --> 00:06:57.000]  都在想怎樣做貓奴狗奴
[00:06:57.000 --> 00:06:59.000]  講體魄
[00:06:59.000 --> 00:07:00.000]  沒有什麼特別情況的
[00:07:00.000 --> 00:07:02.000]  你們應該都是走得走得
[00:07:02.000 --> 00:07:05.000]  因為我現在的團契
[00:07:05.000 --> 00:07:07.000]  或者我去的崇拜
[00:07:07.000 --> 00:07:09.000]  真的不是走得走得
[00:07:09.000 --> 00:07:10.000]  不單走得走得
[00:07:10.000 --> 00:07:12.000]  應該還可以跑馬拉松
[00:07:12.000 --> 00:07:13.000]  做跑拉提
[00:07:13.000 --> 00:07:15.000]  玩皮卡波
[00:07:15.000 --> 00:07:18.000]  所以我猜對於你們來說
[00:07:18.000 --> 00:07:22.000]  身體衰弱
[00:07:22.000 --> 00:07:24.000]  或者是死亡喪禮
[00:07:24.000 --> 00:07:25.000]  對你們來說
[00:07:25.000 --> 00:07:27.000]  應該都是一件很遙遠的事
[00:07:27.000 --> 00:07:29.000]  正如詩人都說
[00:07:29.000 --> 00:07:30.000]  古時的人
[00:07:30.000 --> 00:07:31.000]  活到七十歲
[00:07:31.000 --> 00:07:33.000]  八十歲是正常的
[00:07:33.000 --> 00:07:34.000]  現代人
[00:07:34.000 --> 00:07:35.000]  活到九十歲
[00:07:35.000 --> 00:07:37.000]  其實都是很普遍
[00:07:37.000 --> 00:07:39.000]  不過問題就是
[00:07:39.000 --> 00:07:41.000]  生命又真的不是我們掌管的
[00:07:41.000 --> 00:07:42.000]  正如耶穌
[00:07:42.000 --> 00:07:44.000]  去跟無知的財主說
[00:07:44.000 --> 00:07:45.000]  今天要拿你的命
[00:07:45.000 --> 00:07:46.000]  你可以怎樣呢
[00:07:46.000 --> 00:07:48.000]  你積攢的財寶
[00:07:48.000 --> 00:07:50.000]  其實你沒有用
[00:07:50.000 --> 00:07:51.000]  例如傳道書
[00:07:51.000 --> 00:07:52.000]  又這樣說
[00:07:52.000 --> 00:07:54.000]  人不知道自己何時死
[00:07:54.000 --> 00:07:55.000]  等下你落街
[00:07:55.000 --> 00:07:57.000]  如果突然間被車撞傷
[00:07:57.000 --> 00:07:58.000]  你不知道的
[00:07:58.000 --> 00:08:00.000]  當人不知道何時死
[00:08:00.000 --> 00:08:01.000]  就好像怎樣
[00:08:01.000 --> 00:08:03.000]  魚被惡網圍住
[00:08:03.000 --> 00:08:04.000]  圈住
[00:08:04.000 --> 00:08:08.000]  鳥就好像鳥被網羅捉住
[00:08:08.000 --> 00:08:10.000]  險惡的時機突然
[00:08:10.000 --> 00:08:12.000]  臨到世人身上的時候
[00:08:12.000 --> 00:08:15.000]  世人也照樣陷在其中
[00:08:15.000 --> 00:08:17.000]  所以我們不知道何時死
[00:08:17.000 --> 00:08:19.000]  其實是最慘的
[00:08:19.000 --> 00:08:21.000]  不過就算生命
[00:08:21.000 --> 00:08:22.000]  不在我們掌管裡
[00:08:22.000 --> 00:08:24.000]  但我們也真的會
[00:08:24.000 --> 00:08:27.000]  也真的需要去計劃生命
[00:08:27.000 --> 00:08:28.000]  去計劃將來
[00:08:28.000 --> 00:08:29.000]  很正常
[00:08:29.000 --> 00:08:31.000]  人之常情
[00:08:31.000 --> 00:08:33.000]  也是一個有責任的做法
[00:08:33.000 --> 00:08:34.000]  你說活到今天
[00:08:34.000 --> 00:08:36.000]  好像最後一天一樣
[00:08:36.000 --> 00:08:38.000]  我就活不到這樣
[00:08:38.000 --> 00:08:40.000]  我覺得用這個說話去說活
[00:08:40.000 --> 00:08:43.000]  其實也是一個很cliché的說法
[00:08:43.000 --> 00:08:46.000]  不過明天怎樣
[00:08:46.000 --> 00:08:48.000]  我們還是不知道
[00:08:48.000 --> 00:08:50.000]  又真的是事實
[00:08:50.000 --> 00:08:52.000]  所以我猜問題應該是問
[00:08:52.000 --> 00:08:56.000]  如果今天真的是我們最後一天
[00:08:56.000 --> 00:09:02.000]  你滿不滿意你現在的生命呢?
[00:09:02.000 --> 00:09:05.000]  如果下一刻落到大南西街
[00:09:05.000 --> 00:09:06.000]  你被車撞到
[00:09:06.000 --> 00:09:08.000]  死了
[00:09:08.000 --> 00:09:12.000]  你準備好了沒有?
[00:09:12.000 --> 00:09:15.000]  如果你下一刻你要死
[00:09:15.000 --> 00:09:16.000]  我們會不會知道
[00:09:16.000 --> 00:09:21.000]  跟你搞安息禮還是追思禮呢?
[00:09:21.000 --> 00:09:24.000]  喪禮裡面台上的人
[00:09:24.000 --> 00:09:27.000]  說的你和台下聽到的人
[00:09:27.000 --> 00:09:30.000]  是不是同一個人呢?
[00:09:30.000 --> 00:09:32.000]  如果我們想身邊的人
[00:09:32.000 --> 00:09:34.000]  很清楚知道是為我們搞安息禮的
[00:09:34.000 --> 00:09:38.000]  又很想台上台下所說所聽的人
[00:09:38.000 --> 00:09:39.000]  都是同一個人
[00:09:39.000 --> 00:09:41.000]  今天我們就要預備我們的生命
[00:09:41.000 --> 00:09:43.000]  因為預備喪禮
[00:09:43.000 --> 00:09:46.000]  其實就是預備我們的生命
[00:09:46.000 --> 00:09:48.000]  因為其實喪禮死亡
[00:09:48.000 --> 00:09:53.000]  就是一個人的結局的總結
[00:09:53.000 --> 00:09:55.000]  我們怎樣生活
[00:09:55.000 --> 00:09:58.000]  其實就會怎樣被人紀念
[00:09:58.000 --> 00:10:00.000]  我們想將來死得好
[00:10:00.000 --> 00:10:03.000]  我們現在就要活得好
[00:10:03.000 --> 00:10:07.000]  如果下一刻我們要死
[00:10:07.000 --> 00:10:09.000]  上帝和你身邊的人
[00:10:09.000 --> 00:10:16.000]  會怎樣去衡量評價現在你的生命呢?
[00:10:16.000 --> 00:10:20.000]  今天的經文就提到有三個埋葬
[00:10:20.000 --> 00:10:22.000]  我們就想藉著這三個埋葬
[00:10:22.000 --> 00:10:23.000]  去學習一下
[00:10:23.000 --> 00:10:25.000]  怎樣預備我們將來的死亡
[00:10:25.000 --> 00:10:29.000]  和今天的生命
[00:10:29.000 --> 00:10:31.000]  今天是全教會講到
