
[00:00:00.000 --> 00:00:06.000]  突然間會有五芒 謝謝敬拜隊帶領我們敬拜
[00:00:06.000 --> 00:00:12.000]  今天的敬拜很有親切感 有兩首是我年代的詩歌
[00:00:12.000 --> 00:00:17.000]  可能在座的導師很有共鳴 因為你也是那個年代
[00:00:17.000 --> 00:00:25.000]  無論新歌還是舊歌也好 也能帶我們到上帝那裡一起敬拜
[00:00:25.000 --> 00:00:29.000]  今天很想跟大家分享一個訊息
[00:00:29.000 --> 00:00:33.000]  今集的五月 不知道為什麼每次我編排說到
[00:00:33.000 --> 00:00:36.000]  每次月頭都好像是我講
[00:00:36.000 --> 00:00:40.000]  所以今個月到五月又去到一個新的月題
[00:00:40.000 --> 00:00:45.000]  今個月我想跟大家去看看在聖經裡面去講成長
[00:00:45.000 --> 00:00:49.000]  我今天定了一個題目叫做路營必須走
[00:00:49.000 --> 00:00:52.000]  我不知道大家知不知道是什麼
[00:00:52.000 --> 00:00:55.000]  你知道的話應該就是我的年代
[00:00:55.000 --> 00:01:00.000]  現在潮流流行復古 大家很流行玩爆旋陀螺
[00:01:00.000 --> 00:01:03.000]  到處都可以看到 什麼烈風天馬那些
[00:01:03.000 --> 00:01:07.000]  我弟弟玩到入魔了 他買了陀螺盒
[00:01:07.000 --> 00:01:09.000]  然後說要放十幾個陀螺
[00:01:09.000 --> 00:01:11.000]  不過今天講成長
[00:01:11.000 --> 00:01:16.000]  我想跟大家分享一套我兒時都很喜歡看的動漫
[00:01:16.000 --> 00:01:18.000]  這套動漫叫做數碼暴龍
[00:01:18.000 --> 00:01:20.000]  不知道大家有沒有聽過
[00:01:20.000 --> 00:01:24.000]  可能你略略都聽過 有些人唱那些主題曲
[00:01:24.000 --> 00:01:27.000]  不過未看過不要緊
[00:01:27.000 --> 00:01:32.000]  我輕輕講一下這套動漫的內容是講什麼
[00:01:32.000 --> 00:01:37.000]  這套動漫其實故事是講一班被揀選的小孩
[00:01:37.000 --> 00:01:44.000]  他們突然有一天被數碼精靈成為了他們的夥伴
[00:01:44.000 --> 00:01:47.000]  這班被揀選的小孩有個任務
[00:01:47.000 --> 00:01:53.000]  就是要對抗很多不同數碼世界出來出現的敵人
[00:01:53.000 --> 00:02:00.000]  這套動漫其實是冒險、團隊、成長、對抗邪惡
[00:02:00.000 --> 00:02:06.000]  都是這套數碼暴龍很核心的主題精神
[00:02:06.000 --> 00:02:11.000]  一班小孩要在環境的催逼下成長
[00:02:11.000 --> 00:02:15.000]  要打很多不同的妖魔 要守護這個世界
[00:02:15.000 --> 00:02:19.000]  我小時候看這套動漫
[00:02:19.000 --> 00:02:21.000]  我覺得很熱血
[00:02:21.000 --> 00:02:27.000]  有一刻覺得原來要有一個數碼精靈有一個任務
[00:02:27.000 --> 00:02:30.000]  要成長是這麼熱血的事情
[00:02:30.000 --> 00:02:33.000]  所以我小時候都很追那些數碼暴龍機
[00:02:33.000 --> 00:02:35.000]  要跟別人對戰
