
[00:00:00.000 --> 00:00:02.240]  很感謝敬拜隊帶領我們
[00:00:02.240 --> 00:00:04.560]  剛才的敬拜,我覺得很好
[00:00:04.560 --> 00:00:06.760]  歌詞不斷提醒我們
[00:00:06.760 --> 00:00:09.440]  我們是蒙恩的罪人
[00:00:09.440 --> 00:00:13.960]  得到恩典是非常好的一件事
[00:00:13.960 --> 00:00:17.600]  正正因著天父的恩典
[00:00:17.600 --> 00:00:19.640]  我們每次回來崇拜
[00:00:19.640 --> 00:00:22.480]  其實我們都在回應祂的愛
[00:00:22.480 --> 00:00:26.360]  特別想大家給我們侍奉團隊掌聲
[00:00:26.440 --> 00:00:31.200]  特別是這段時間都是很忙的時間
[00:00:31.200 --> 00:00:34.000]  主席和很多大專都在考試
[00:00:34.000 --> 00:00:35.960]  今早大專政員會開會
[00:00:35.960 --> 00:00:37.920]  有些人昨晚都沒有睡覺
[00:00:37.920 --> 00:00:40.560]  所以大家都是很辛苦的一段時間
[00:00:40.560 --> 00:00:44.440]  但為何仍然願意堅持服侍
[00:00:44.440 --> 00:00:45.760]  正正是展現出
[00:00:45.760 --> 00:00:48.400]  他們覺得這個信仰是值得
[00:00:48.400 --> 00:00:50.080]  他們放在優先的範疇
[00:00:50.080 --> 00:00:53.320]  很盼望大英姐妹們在忙碌的時間裡
[00:00:53.440 --> 00:00:56.680]  每次崇拜都是在提醒你們
[00:00:56.680 --> 00:00:58.920]  你們不是孤單一個人在走
[00:00:58.920 --> 00:01:01.040]  在你們忙碌的考試裡
[00:01:01.040 --> 00:01:03.480]  你要知道天父是愛你
[00:01:03.480 --> 00:01:04.840]  滿有恩典的主
[00:01:04.840 --> 00:01:07.200]  帶著你,拖帶你走生命的路
[00:01:07.200 --> 00:01:09.640]  不如我們開始時一起祈禱吧
[00:01:09.640 --> 00:01:12.480]  參加天父,我們很感謝你
[00:01:12.480 --> 00:01:14.480]  感謝你真的愛我們
[00:01:14.480 --> 00:01:16.480]  並且拯救我們
[00:01:16.480 --> 00:01:18.240]  招聚我們,每次回來
[00:01:18.240 --> 00:01:20.280]  其實我們在紀念你的愛
[00:01:20.360 --> 00:01:23.480]  我們知道我們生命裡不是孤單一人
[00:01:23.480 --> 00:01:26.000]  求你以你的話語幫助我們
[00:01:26.000 --> 00:01:28.600]  提醒我們,帶領我們
[00:01:28.600 --> 00:01:31.000]  在生命裡可以活得有盼望、有喜樂
[00:01:31.000 --> 00:01:32.200]  求你幫助我們
[00:01:32.200 --> 00:01:34.040]  我們不懂得跟隨你的時間
[00:01:34.040 --> 00:01:38.600]  求你讓我們從你身上得到力量
[00:01:38.600 --> 00:01:39.840]  最後求你幫助帶領我們
[00:01:39.840 --> 00:01:40.640]  祈禱交托
[00:01:40.640 --> 00:01:42.240]  奉著耶穌基督的名義祈求
[00:01:42.240 --> 00:01:43.360]  阿們
[00:01:43.360 --> 00:01:46.840]  很高興可以在這裡跟大家分享神的話語
[00:01:46.840 --> 00:01:48.840]  最近我們同工
[00:01:48.920 --> 00:01:52.360]  最近開會時有聊過一個挺有趣的題目
[00:01:52.360 --> 00:01:57.560]  就是逆旅完結後剩下的…
[00:01:57.560 --> 00:01:58.880]  很快就播出了
[00:01:58.880 --> 00:02:03.600]  逆旅完結後,我們出了一些紀念品
[00:02:03.600 --> 00:02:05.360]  剩下了很久
[00:02:05.360 --> 00:02:07.200]  一直都沒有人拿
[00:02:07.200 --> 00:02:08.800]  有些保抗力粉
[00:02:08.800 --> 00:02:12.800]  又有些能量棒和小禮物
[00:02:12.800 --> 00:02:13.640]  很有趣的
[00:02:13.640 --> 00:02:17.200]  上星期來了一個小學生
[00:02:17.280 --> 00:02:18.320]  有個小學生來到
[00:02:18.320 --> 00:02:20.880]  沒有兒童看顧,上來打燈
[00:02:20.880 --> 00:02:21.840]  我那組很好
[00:02:21.840 --> 00:02:23.600]  Trinity幫我照顧他
[00:02:23.600 --> 00:02:26.960]  很有趣,Trinity完結後
[00:02:26.960 --> 00:02:28.600]  我回來看見小朋友
[00:02:28.600 --> 00:02:32.080]  一包、二包保抗力粉塞進自己的袋子裡
[00:02:32.080 --> 00:02:35.640]  很緊張,好像逃難似的
[00:02:35.640 --> 00:02:37.720]  我沒有打擾他
[00:02:37.720 --> 00:02:40.600]  我說「玩完了嗎?挺好」
[00:02:40.600 --> 00:02:42.520]  然後他就走了
[00:02:42.520 --> 00:02:43.840]  不過很開心
[00:02:43.920 --> 00:02:46.000]  如果能夠祝福保抗力粉
[00:02:46.000 --> 00:02:48.760]  是值得開心的一件事
[00:02:48.760 --> 00:02:51.120]  但說到逆旅
[00:02:51.120 --> 00:02:56.280]  如果你們拿到後面的小飾物
[00:02:56.280 --> 00:02:59.600]  是大帽山的襟章
[00:02:59.600 --> 00:03:01.600]  我覺得設計很漂亮
[00:03:01.600 --> 00:03:08.000]  突破一直都有製作小精品和設計
[00:03:08.000 --> 00:03:09.360]  我很久以前…
[00:03:09.360 --> 00:03:10.640]  童年回憶了
[00:03:10.640 --> 00:03:13.880]  你們知道這是甚麼嗎?有人知道嗎
[00:03:14.400 --> 00:03:17.280]  知道吧?很醜,我們是同年代的
[00:03:17.280 --> 00:03:19.040]  一看就知道是同年代
[00:03:19.040 --> 00:03:21.240]  這是火柴人
[00:03:21.240 --> 00:03:25.760]  火柴人在我們那時候是很熱門的
[00:03:25.760 --> 00:03:27.680]  現在比較少見,不知為何
[00:03:27.680 --> 00:03:31.960]  但其實我特別喜歡火柴人
[00:03:31.960 --> 00:03:36.720]  每次出來時都會有一些很精簡的金句
[00:03:36.720 --> 00:03:38.480]  特別像是幫人打氣
[00:03:38.480 --> 00:03:40.240]  有句我特別喜歡
[00:03:40.240 --> 00:03:43.400]  「與其就坐黑暗,不如燃燒自己」
[00:03:43.480 --> 00:03:47.040]  這句是很久以前寫的
[00:03:47.040 --> 00:03:50.120]  但我現在重看也有很大的感動
[00:03:50.120 --> 00:03:53.240]  好像在幫我提醒、鼓勵我
[00:03:53.240 --> 00:03:55.680]  「其實你面對這個世界」
[00:03:55.680 --> 00:03:58.160]  「可能有很多事情都不太好」
[00:03:58.160 --> 00:03:59.320]  「有很多黑暗在裡面」
[00:03:59.320 --> 00:04:03.480]  但原來我們不斷地很沮喪
[00:04:03.480 --> 00:04:05.760]  不斷罵世界很灰心、很失意
[00:04:05.760 --> 00:04:07.760]  罵來又有甚麼出路呢
[00:04:07.760 --> 00:04:09.320]  其實在生命中
[00:04:09.440 --> 00:04:14.160]  可以活出一個很正面、積極的生命力
[00:04:14.160 --> 00:04:16.200]  因著主耶穌基督拯救我們
[00:04:16.200 --> 00:04:18.480]  我們可以活出一個不一樣的生命
[00:04:18.480 --> 00:04:22.320]  正如我們年度的主題
[00:04:22.320 --> 00:04:24.600]  「Transform our lives, glowing for Christ」
[00:04:24.600 --> 00:04:27.960]  「轉化生命,為主發光」
[00:04:27.960 --> 00:04:31.640]  其實我們生命中可以發光
[00:04:31.640 --> 00:04:33.800]  讓這個世界變得不一樣
[00:04:36.040 --> 00:04:37.280]  火柴人帶領我們
[00:04:37.280 --> 00:04:39.240]  他讓我們看到一個圖畫
[00:04:39.240 --> 00:04:41.840]  其實我們生命中可以展現這些特質
[00:04:41.840 --> 00:04:44.240]  正正是我們今年一直在說的
[00:04:44.240 --> 00:04:46.520]  我們的生命可以活出不同的品格
[00:04:46.520 --> 00:04:48.200]  讓這個世界變得不一樣
[00:04:48.200 --> 00:04:50.040]  但問題就來了
[00:04:50.040 --> 00:04:53.640]  其實我們是否容易呢
[00:04:53.640 --> 00:04:55.240]  有時候你可能會覺得
[00:04:55.240 --> 00:04:57.280]  其實要活出基督徒的品格
[00:04:57.280 --> 00:04:59.880]  我們過去一年說了很多品格
[00:04:59.880 --> 00:05:02.120]  我們想要活出其實也不太容易
[00:05:02.120 --> 00:05:04.880]  有時候會失腳,有時候會失足跌倒
[00:05:04.960 --> 00:05:06.720]  究竟我們在生命中
[00:05:06.720 --> 00:05:08.880]  如何才可以繼續走得遠
[00:05:08.880 --> 00:05:11.120]  或者究竟我們在失足跌倒時
[00:05:11.120 --> 00:05:13.600]  如何可以站起來
[00:05:13.600 --> 00:05:16.040]  當中我們今天會說一篇經文
[00:05:16.040 --> 00:05:17.480]  會說到這一點
[00:05:17.480 --> 00:05:20.080]  我們今天的經文就在…
[00:05:20.080 --> 00:05:22.520]  有了,就是《馬學福音》
[00:05:22.520 --> 00:05:24.240]  第15、16章
[00:05:24.240 --> 00:05:28.160]  其實我在去年說過這段經文
[00:05:28.160 --> 00:05:31.640]  不過去年是用復活節的形式說的
[00:05:31.720 --> 00:05:35.880]  這次會用一個門徒訓練的形式說
[00:05:35.880 --> 00:05:39.240]  你會看到《錫經》的說法很不同
[00:05:39.240 --> 00:05:42.120]  這篇基本上是重新寫出來的
[00:05:42.120 --> 00:05:44.960]  但在當中的經文中
[00:05:44.960 --> 00:05:48.160]  其實告訴我們如何做門徒
[00:05:48.160 --> 00:05:51.880]  在生命中如何跟隨主更多
[00:05:51.880 --> 00:05:55.400]  《馬學福音》一開始…
[00:05:55.400 --> 00:05:57.560]  我們先說一些背景
[00:05:57.560 --> 00:05:58.920]  《馬學福音》一章一節
[00:05:59.000 --> 00:06:00.880]  整個《馬學福音》是說
[00:06:00.880 --> 00:06:02.480]  主耶穌是神的兒子
[00:06:02.480 --> 00:06:04.200]  是福音的起頭
[00:06:04.200 --> 00:06:07.080]  亦即是我們生命中的好消息
[00:06:07.080 --> 00:06:09.200]  祂是神的兒子,福音的起頭
[00:06:09.200 --> 00:06:14.640]  並且神的兒子在生命中會走一條道路
[00:06:14.640 --> 00:06:18.440]  一開始,在10章前
[00:06:18.440 --> 00:06:21.920]  其實是說有一條道路預備著神的兒子
[00:06:21.920 --> 00:06:23.600]  而到了10章後
[00:06:23.600 --> 00:06:27.200]  神的兒子主耶穌基督會走上這條道路
[00:06:27.280 --> 00:06:29.800]  甚麼是道路?為何要走一條道路?
[00:06:29.800 --> 00:06:30.720]  是甚麼意思?
[00:06:30.720 --> 00:06:34.280]  其實這句話跟希伯來文的
[00:06:34.280 --> 00:06:36.120]  "Direct"很有關
[00:06:36.120 --> 00:06:39.040]  說的是…就像《心靈記》所說
[00:06:39.040 --> 00:06:41.680]  「愛耶和華,你的上帝」
[00:06:41.680 --> 00:06:43.760]  「並且要遵守祂的道路」
[00:06:43.760 --> 00:06:44.800]  遵守祂的道路
