
[00:00:00.000 --> 00:00:02.000]  晚安
[00:00:02.000 --> 00:00:04.000]  今晚不是我講道
[00:00:04.000 --> 00:00:07.000]  是第一次來到我們當中正道的外來講員
[00:00:07.000 --> 00:00:09.000]  所以我簡單介紹給大家認識
[00:00:09.000 --> 00:00:11.000]  就算你沒有見過他
[00:00:11.000 --> 00:00:13.000]  可能你也看過他的書
[00:00:13.000 --> 00:00:17.000]  因為他是幫明道寫傳道書
[00:00:17.000 --> 00:00:20.000]  以及是針研的識經書
[00:00:20.000 --> 00:00:21.000]  如果你看過
[00:00:21.000 --> 00:00:23.000]  樓下你也可以看看有沒有賣
[00:00:23.000 --> 00:00:26.000]  謝惠怡博士
[00:00:26.000 --> 00:00:34.000]  見到神學院的前聖經系主任
[00:00:34.000 --> 00:00:39.000]  我們幾位目者都曾經在他的學生面前學習神的說話
[00:00:39.000 --> 00:00:40.000]  今晚很開心
[00:00:40.000 --> 00:00:44.000]  我們可以繼續去延續當年上課的甜蜜
[00:00:44.000 --> 00:00:47.000]  將以下時間交給謝博士
[00:00:56.000 --> 00:00:58.000]  各位姐妹晚安
[00:00:58.000 --> 00:01:01.000]  今晚我和大家分享的書卷
[00:01:01.000 --> 00:01:05.000]  如果我們有實體聖經的年代
[00:01:05.000 --> 00:01:07.000]  叫你找也很難找到
[00:01:07.000 --> 00:01:12.000]  因為俄巴底亞書只有一張
[00:01:12.000 --> 00:01:14.000]  在實體聖經只有一頁
[00:01:14.000 --> 00:01:16.000]  所以也很難找到
[00:01:16.000 --> 00:01:19.000]  而我們的書卷
[00:01:19.000 --> 00:01:22.000]  俄巴底亞這個名字
[00:01:22.000 --> 00:01:24.000]  其實也沒有什麼人改
[00:01:24.000 --> 00:01:26.000]  譬如路德也有人改
[00:01:26.000 --> 00:01:27.000]  Ruth
[00:01:27.000 --> 00:01:31.000]  但俄巴底亞其實是希伯來文的音譯
[00:01:31.000 --> 00:01:32.000]  Aubadeia
[00:01:32.000 --> 00:01:36.000]  那個亞或瓦的翻譯
[00:01:36.000 --> 00:01:41.000]  通常都是耶和華或上主的簡稱
[00:01:41.000 --> 00:01:43.000]  俄巴底亞的名字的意思
[00:01:43.000 --> 00:01:46.000]  其實就是上主的敬拜者
[00:01:46.000 --> 00:01:48.000]  或者上主的僕人
[00:01:48.000 --> 00:01:51.000]  而俄巴底亞書的信息
[00:01:51.000 --> 00:01:53.000]  如果你看它的內容
[00:01:53.000 --> 00:01:57.000]  其實跟我們好像沒有什麼直接的關係
[00:01:57.000 --> 00:01:58.000]  因為俄巴底亞書
[00:01:58.000 --> 00:02:01.000]  其實它是說針對的對象
