
[00:00:00.000 --> 00:00:02.000]  Testing Testing
[00:00:02.000 --> 00:00:05.000]  好 弟兄姊妹早晨
[00:00:05.000 --> 00:00:07.000]  很開心可以來到
[00:00:07.000 --> 00:00:09.000]  是不是青少年呢?
[00:00:09.000 --> 00:00:12.000]  我懷疑應該是第一次來港島
[00:00:12.000 --> 00:00:16.000]  初中應該是第二次吧
[00:00:16.000 --> 00:00:19.000]  首先一點點自我介紹
[00:00:19.000 --> 00:00:21.000]  我叫羅少麟 是不是
[00:00:21.000 --> 00:00:23.000]  是一福神學院的老師
[00:00:23.000 --> 00:00:25.000]  其實我都年輕過的
[00:00:25.000 --> 00:00:28.000]  我22歲的時候就出來傳道
[00:00:28.000 --> 00:00:31.000]  今年是我第30年全職侍奉
[00:00:31.000 --> 00:00:33.000]  22歲出來傳道
[00:00:33.000 --> 00:00:35.000]  我26歲就成為了宣教士
[00:00:35.000 --> 00:00:37.000]  去日本宣教
[00:00:37.000 --> 00:00:41.000]  想到神學大家會想到些什麼呢?
[00:00:41.000 --> 00:00:45.000]  想到神學可能你會覺得比較虛一點
[00:00:45.000 --> 00:00:48.000]  好像什麼粒子物理學 講哲學
[00:00:48.000 --> 00:00:50.000]  每個字都明白你說什麼
[00:00:50.000 --> 00:00:53.000]  但是混在一起就好像不太知道你說什麼
[00:00:53.000 --> 00:00:54.000]  其實不是的
[00:00:54.000 --> 00:00:59.000]  真真正正好的神學是很具體的 很落地的
[00:00:59.000 --> 00:01:01.000]  如果一些很不具體 很不落地
[00:01:01.000 --> 00:01:03.000]  聽完不知道說什麼的神學
[00:01:03.000 --> 00:01:08.000]  很可能不是我們想說的那樣東西
[00:01:08.000 --> 00:01:10.000]  所以今天既然神學主日
[00:01:10.000 --> 00:01:12.000]  不如給一個很落地的
[00:01:12.000 --> 00:01:13.000]  我覺得很落地的
[00:01:13.000 --> 00:01:15.000]  可能大人不太知道說什麼
[00:01:15.000 --> 00:01:18.000]  這個講題你明白說什麼嗎?
[00:01:18.000 --> 00:01:22.000]  到了現實世界 靠愛掛變成無敵
[00:01:22.000 --> 00:01:25.000]  有沒有人一看就明白說什麼的?
[00:01:25.000 --> 00:01:28.000]  哎呀 糟了 改錯題目了
[00:01:28.000 --> 00:01:31.000]  有沒有人完全看完不知道說什麼的?
[00:01:31.000 --> 00:01:33.000]  有沒有打機或者看動漫的?
[00:01:33.000 --> 00:01:35.000]  有打機的舉手看看
[00:01:35.000 --> 00:01:37.000]  沒有理由沒有的
[00:01:37.000 --> 00:01:40.000]  真是恩福堂這麼厲害
[00:01:40.000 --> 00:01:42.000]  不是 與我無關
[00:01:42.000 --> 00:01:43.000]  真的不打機的?
[00:01:43.000 --> 00:01:46.000]  打吧 沒理由不打的
[00:01:46.000 --> 00:01:50.000]  真的不看動漫的?
[00:01:50.000 --> 00:01:55.000]  其實這五到七年比較流行的動漫是什麼呢?
[00:01:55.000 --> 00:01:56.000]  是這一種系列
[00:01:56.000 --> 00:01:59.000]  其實這個是假的 沒有這套動漫的
[00:01:59.000 --> 00:02:02.000]  那個畫面是我用AI做出來的
[00:02:02.000 --> 00:02:04.000]  我教你怎麼分AI和非AI
[00:02:04.000 --> 00:02:06.000]  看手指就分得到
[00:02:06.000 --> 00:02:09.000]  你看不看到女主的手指是亂七八糟的?
[00:02:09.000 --> 00:02:12.000]  AI畫手指畫得還不夠厲害
[00:02:12.000 --> 00:02:14.000]  過兩年AI畫手指應該畫得很厲害
[00:02:14.000 --> 00:02:19.000]  那些拿劍的畫不出來
[00:02:19.000 --> 00:02:21.000]  所以這幅圖是AI的
[00:02:21.000 --> 00:02:24.000]  昨天有些弟兄姐妹跟我說
[00:02:24.000 --> 00:02:26.000]  這套我看過
[00:02:26.000 --> 00:02:29.000]  我說這套你沒看過 因為這套是我做出來的
[00:02:29.000 --> 00:02:33.000]  這五到七年比較流行的動漫就是這些
[00:02:33.000 --> 00:02:35.000]  叫做異世界系列
[00:02:35.000 --> 00:02:37.000]  有沒有人看過異世界系列的動漫?
[00:02:37.000 --> 00:02:39.000]  沒有理由沒有的
[00:02:39.000 --> 00:02:42.000]  大家不舉手而已
[00:02:42.000 --> 00:02:44.000]  在異世界裡面
[00:02:44.000 --> 00:02:46.000]  有個勇者
[00:02:46.000 --> 00:02:49.000]  在異世界裡面有些人很困苦
[00:02:49.000 --> 00:02:51.000]  很困苦 有魔王
[00:02:51.000 --> 00:02:54.000]  有仇敵魔鬼
[00:02:54.000 --> 00:02:56.000]  所以異世界的人很困苦
