
[00:00:00.000 --> 00:00:02.000]  大兄姐妹早安
[00:00:02.000 --> 00:00:04.000]  願神祝福我們
[00:00:04.000 --> 00:00:06.000]  也感謝敬拜隊
[00:00:06.000 --> 00:00:08.000]  帶領我們靠歌詩
[00:00:08.000 --> 00:00:10.000]  進入神的同在
[00:00:10.000 --> 00:00:12.000]  讓我們在講道之先一起禱告
[00:00:12.000 --> 00:00:18.000]  親愛的主耶穌
[00:00:18.000 --> 00:00:20.000]  你是那位耳脈內裡的神
[00:00:20.000 --> 00:00:22.000]  你時時刻刻
[00:00:22.000 --> 00:00:24.000]  藉著聖靈在我們當中
[00:00:24.000 --> 00:00:26.000]  與我們同在
[00:00:26.000 --> 00:00:28.000]  加力給我們
[00:00:28.000 --> 00:00:30.000]  這一刻
[00:00:30.000 --> 00:00:32.000]  在我們每一個人的內心
[00:00:32.000 --> 00:00:34.000]  將你的說話解明
[00:00:34.000 --> 00:00:36.000]  也讓我們的心
[00:00:36.000 --> 00:00:38.000]  裝載你的話語
[00:00:38.000 --> 00:00:40.000]  淺行神你所吩咐我們的
[00:00:40.000 --> 00:00:42.000]  教導和真理
[00:00:42.000 --> 00:00:44.000]  讓我們能夠不見一人
[00:00:44.000 --> 00:00:46.000]  只見耶穌你自己的教導
[00:00:46.000 --> 00:00:48.000]  禱告奉主耶穌
[00:00:48.000 --> 00:00:50.000]  得聖命之而求
[00:00:50.000 --> 00:00:52.000]  我今天想和大家
[00:00:52.000 --> 00:00:54.000]  分享一個題目叫做
[00:00:54.000 --> 00:00:56.000]  信仰的試金石
[00:00:56.000 --> 00:00:58.000]  大家知不知道這是什麼呢
[00:00:58.000 --> 00:01:02.000]  就是試金石
[00:01:02.000 --> 00:01:04.000]  以前人們
[00:01:04.000 --> 00:01:06.000]  未有這麼高科技的時候
[00:01:06.000 --> 00:01:08.000]  他們就會用這塊石頭
[00:01:08.000 --> 00:01:10.000]  試金石其實在礦物學中
[00:01:10.000 --> 00:01:12.000]  名稱叫做碧鉛岩
[00:01:12.000 --> 00:01:14.000]  是密度很高
[00:01:14.000 --> 00:01:16.000]  很堅硬的
[00:01:16.000 --> 00:01:18.000]  用來鑒別
[00:01:18.000 --> 00:01:20.000]  黃金究竟是不是
[00:01:20.000 --> 00:01:22.000]  新的黃金和它的成色
[00:01:22.000 --> 00:01:24.000]  有多少
[00:01:24.000 --> 00:01:26.000]  通常會
[00:01:26.000 --> 00:01:28.000]  用成色的金牌
[00:01:28.000 --> 00:01:30.000]  一起去試
[00:01:30.000 --> 00:01:32.000]  在石頭中畫上
[00:01:32.000 --> 00:01:34.000]  透過它的顏色
[00:01:34.000 --> 00:01:36.000]  去判斷黃金的含量
[00:01:36.000 --> 00:01:38.000]  黃金就可以
[00:01:38.000 --> 00:01:40.000]  用試金石或不同的科技
[00:01:40.000 --> 00:01:42.000]  去辨明它
[00:01:42.000 --> 00:01:44.000]  是不是一塊真黃金
[00:01:44.000 --> 00:01:46.000]  就像我們在金舖買
[00:01:46.000 --> 00:01:48.000]  試了之後就打印
[00:01:48.000 --> 00:01:50.000]  999千足黃金
[00:01:50.000 --> 00:01:52.000]  我們很知道我們買了一塊真材實料的黃金
