
[00:00:00.000 --> 00:00:01.680]  各位電視節目的各位朋友
[00:00:01.680 --> 00:00:03.680]  聽到嗎?
[00:00:03.680 --> 00:00:05.760]  是不是小聲一點?
[00:00:05.760 --> 00:00:07.120]  還可以吧?
[00:00:07.120 --> 00:00:09.040]  我們一起祈禱
[00:00:09.040 --> 00:00:13.580]  天主上帝感謝你
[00:00:13.580 --> 00:00:16.460]  讓我們在今天的早上
[00:00:16.460 --> 00:00:20.140]  我們由敬拜開始
[00:00:20.140 --> 00:00:21.920]  我們一天的日子
[00:00:21.920 --> 00:00:25.800]  開始這個禮拜
[00:00:25.800 --> 00:00:27.560]  我們的生命
[00:00:28.180 --> 00:00:29.180]  在詩歌裡面
[00:00:29.180 --> 00:00:33.360]  我們將我們的重擔射給主
[00:00:33.360 --> 00:00:37.940]  我們要進入一個什麼樣的日子呢?
[00:00:37.940 --> 00:00:41.660]  我求你讓我們進入一個
[00:00:41.660 --> 00:00:46.460]  是你話語裡面啟示給我們
[00:00:46.460 --> 00:00:48.760]  滿有你的恩情
[00:00:48.760 --> 00:00:51.500]  滿有你的掌管
[00:00:51.500 --> 00:00:53.100]  滿有你的大能
[00:00:53.100 --> 00:00:55.460]  滿有你的慈悲
[00:00:56.460 --> 00:01:00.460]  滿有跟你同在的生活
[00:01:00.460 --> 00:01:03.460]  所以我求你
[00:01:03.460 --> 00:01:07.460]  不單止讓我們在崇拜裡面
[00:01:07.460 --> 00:01:09.460]  我們能夠用詩歌去獻情
[00:01:09.460 --> 00:01:12.460]  我們的心思、意念
[00:01:12.460 --> 00:01:14.460]  與你親近、蒙你月亮
[00:01:14.460 --> 00:01:19.460]  也求你讓我們能夠在這個話語裡面
[00:01:19.460 --> 00:01:21.460]  就是你那個
[00:01:22.460 --> 00:01:27.460]  透露著你從創世以先到今天
[00:01:27.460 --> 00:01:30.460]  到亙古的將來
[00:01:30.460 --> 00:01:33.460]  你所定的旨意
[00:01:33.460 --> 00:01:35.460]  讓我們能夠行在當中
[00:01:35.460 --> 00:01:36.460]  必然得福
[00:01:36.460 --> 00:01:39.460]  也必然成為別人的祝福
[00:01:39.460 --> 00:01:44.460]  多多經歷主的同在和恩典的一個人生
[00:01:44.460 --> 00:01:46.460]  求你這樣祝福我們
[00:01:46.460 --> 00:01:49.460]  進入你的話語
[00:01:49.460 --> 00:01:50.460]  與你親近
[00:01:50.460 --> 00:01:51.460]  與你相遇
[00:01:51.460 --> 00:01:52.460]  聽我們祈禱
[00:01:52.460 --> 00:01:53.460]  交託仰望
[00:01:53.460 --> 00:01:56.460]  奉我主耶穌基督得聖名至其及
[00:01:56.460 --> 00:02:00.460]  各位親愛的弟兄姊妹
[00:02:00.460 --> 00:02:01.460]  各位朋友
[00:02:01.460 --> 00:02:03.460]  無論你在現場實體崇拜
[00:02:03.460 --> 00:02:05.460]  我可以親身跟你打招呼
[00:02:05.460 --> 00:02:06.460]  還有網上的
[00:02:06.460 --> 00:02:08.460]  真的很不公平
[00:02:08.460 --> 00:02:09.460]  只有你看到我
[00:02:09.460 --> 00:02:10.460]  我看不到你
[00:02:10.460 --> 00:02:12.460]  都跟大家打個招呼
[00:02:12.460 --> 00:02:14.460]  主佑平安
[00:02:14.460 --> 00:02:19.460]  不知道你是否已經認罪悔改
[00:02:19.460 --> 00:02:22.460]  接受了耶穌基督做你救主生命的主
[00:02:22.460 --> 00:02:25.460]  是不是
[00:02:25.460 --> 00:02:26.460]  是吧
[00:02:26.460 --> 00:02:27.460]  如果是的話
[00:02:27.460 --> 00:02:28.460]  我想問一下
[00:02:28.460 --> 00:02:31.460]  你怎樣從過去的人生
[00:02:31.460 --> 00:02:34.460]  去到接受主進入你生命的人生
[00:02:34.460 --> 00:02:37.460]  可以的話
[00:02:37.460 --> 00:02:38.460]  我真的很盼望
[00:02:38.460 --> 00:02:42.460]  能夠有機會去逐一聆聽
[00:02:42.460 --> 00:02:44.460]  每一位弟兄姊妹
[00:02:44.460 --> 00:02:45.460]  信主
[00:02:45.460 --> 00:02:46.460]  認識神的經過
[00:02:46.460 --> 00:02:48.460]  每一個都是一個很精彩的故事
[00:02:48.460 --> 00:02:49.460]  我深信
[00:02:49.460 --> 00:02:51.460]  但容許我先說我的
[00:02:51.460 --> 00:02:54.460]  1991年9月
[00:02:54.460 --> 00:02:56.460]  我入讀大學一年班
[00:02:56.460 --> 00:02:57.460]  修讀建築
[00:02:57.460 --> 00:02:58.460]  那時候未信耶穌
