
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹早晨
[00:00:02.000 --> 00:00:03.000]  早
[00:00:03.000 --> 00:00:05.000]  很高興第一次來到祖堂
[00:00:05.000 --> 00:00:07.000]  跟大家分享神的信息
[00:00:07.000 --> 00:00:09.000]  或者你都不太認識我
[00:00:09.000 --> 00:00:11.000]  讓我介紹自己
[00:00:11.000 --> 00:00:12.000]  我的英文名字
[00:00:12.000 --> 00:00:14.000]  知不知道叫什麼名字?
[00:00:14.000 --> 00:00:16.000]  叫Emmanuel 以馬來尼
[00:00:16.000 --> 00:00:18.000]  為什麼叫這個名字呢?
[00:00:18.000 --> 00:00:21.000]  就是我剛剛信主母來的時候
[00:00:21.000 --> 00:00:23.000]  家人很反對我信耶穌
[00:00:23.000 --> 00:00:24.000]  去到一個地步
[00:00:24.000 --> 00:00:27.000]  我覺得真的很難走下去
[00:00:27.000 --> 00:00:29.000]  於是我有一天看聖經
[00:00:29.000 --> 00:00:32.000]  看到很多艱難的福音書
[00:00:32.000 --> 00:00:34.000]  傳福音的就很難
[00:00:34.000 --> 00:00:35.000]  然後就看到
[00:00:35.000 --> 00:00:37.000]  講到以馬來尼
[00:00:37.000 --> 00:00:41.000]  以馬來尼的意思是什麼?
[00:00:41.000 --> 00:00:43.000]  是呀!神與我們同在
[00:00:43.000 --> 00:00:45.000]  所以在困難裡
[00:00:45.000 --> 00:00:47.000]  每當有人叫我的名字的時候
[00:00:47.000 --> 00:00:49.000]  就好像神在鼓勵我
[00:00:49.000 --> 00:00:50.000]  不要緊的
[00:00:50.000 --> 00:00:52.000]  是,神與我們同在
[00:00:52.000 --> 00:00:56.000]  好,今天我們去看的書卷
[00:00:56.000 --> 00:00:59.000]  知不知道是哪一本書?
[00:00:59.000 --> 00:01:01.000]  你們很厲害
[00:01:01.000 --> 00:01:03.000]  以西傑書
[00:01:03.000 --> 00:01:05.000]  今天我們要看的以西傑書
[00:01:05.000 --> 00:01:08.000]  是第四和第五章
[00:01:08.000 --> 00:01:10.000]  篇幅都很長
[00:01:10.000 --> 00:01:12.000]  不知道大家有沒有回家看過呢?
[00:01:12.000 --> 00:01:14.000]  有沒有?
[00:01:14.000 --> 00:01:17.000]  看到有些低頭就收到了
[00:01:17.000 --> 00:01:18.000]  不要緊的
[00:01:18.000 --> 00:01:20.000]  雖然篇幅很長
[00:01:20.000 --> 00:01:23.000]  但只要我們找到重點
[00:01:23.000 --> 00:01:24.000]  就不難理解了
[00:01:24.000 --> 00:01:27.000]  這34節的經文
[00:01:27.000 --> 00:01:29.000]  只有一個重點
[00:01:29.000 --> 00:01:33.000]  就是神審判的訊息
[00:01:33.000 --> 00:01:37.000]  在四章第一至第五章四節
[00:01:37.000 --> 00:01:41.000]  聖經用了一個non-verbal
[00:01:41.000 --> 00:01:43.000]  non-verbal就是不說話
