
[00:00:00.000 --> 00:00:06.000]  鄧占博,我不知道你在敬拜中有什麼感覺
[00:00:06.000 --> 00:00:12.000]  剛剛在科倫斯帶我們去唱詩歌,去敬拜主的時候
[00:00:12.000 --> 00:00:15.000]  我自己體會到一種很特別的感覺就是
[00:00:15.000 --> 00:00:18.000]  有一種平安在我的心裡面
[00:00:18.000 --> 00:00:21.000]  雖然我們現在不能一起去敬拜
[00:00:21.000 --> 00:00:23.000]  不能在同一個空間裡面去敬拜
[00:00:23.000 --> 00:00:27.000]  但是我猜在你的生命裡面
[00:00:27.000 --> 00:00:30.000]  你經歷著很多不同的困難
[00:00:30.000 --> 00:00:32.000]  但是你透過剛剛的敬拜裡面
[00:00:32.000 --> 00:00:35.000]  帶給你,有什麼感覺呢
[00:00:35.000 --> 00:00:38.000]  很想你記住這個感覺
[00:00:38.000 --> 00:00:40.000]  我猜這個也是聖靈給我們的提醒
[00:00:40.000 --> 00:00:44.000]  聖靈在敬拜裡面給我們的得著
[00:00:44.000 --> 00:00:47.000]  過來記住它
[00:00:47.000 --> 00:00:51.000]  今天很想跟大家分享一個題目
[00:00:51.000 --> 00:00:54.000]  我不知道大家記不記得上個星期
[00:00:54.000 --> 00:00:57.000]  何牧師分享了什麼
[00:00:57.000 --> 00:00:59.000]  當我們到三月的時候
[00:00:59.000 --> 00:01:02.000]  其實《青史報》講到的主題已經進入了一個新的領域
[00:01:02.000 --> 00:01:05.000]  就是會講關於敬拜
[00:01:05.000 --> 00:01:08.000]  何牧師上個星期就透過摩西
[00:01:08.000 --> 00:01:13.000]  帶我們去看一下究竟學習去敬拜神
[00:01:13.000 --> 00:01:15.000]  應有的態度是怎樣
[00:01:15.000 --> 00:01:20.000]  他就帶出神主動去邀請我們去敬拜他
[00:01:20.000 --> 00:01:22.000]  讓我們去反思
[00:01:22.000 --> 00:01:25.000]  我們是不是很渴望地回應去敬拜他呢
[00:01:25.000 --> 00:01:28.000]  我們敬拜的時候有沒有分別為聖呢
[00:01:28.000 --> 00:01:31.000]  有沒有信服主和敬畏主的態度呢
[00:01:31.000 --> 00:01:35.000]  而我這個星期很想跟大家探討一個題目
[00:01:35.000 --> 00:01:37.000]  我今天的題目就定了
[00:01:37.000 --> 00:01:39.000]  《被聖靈引導的敬拜者》
[00:01:39.000 --> 00:01:43.000]  不過很想大家回想一下
[00:01:43.000 --> 00:01:46.000]  過往可能不知道你回教會多久
[00:01:46.000 --> 00:01:50.000]  有沒有一次敬拜你是特別深刻的呢
[00:01:50.000 --> 00:01:54.000]  而當你在那個很深刻的敬拜的時候
[00:01:54.000 --> 00:01:57.000]  最深刻的位置是在哪裡呢
[00:01:57.000 --> 00:02:04.000]  而你又覺得聖靈在那次敬拜裡面給了你一個什麼的提醒呢
[00:02:04.000 --> 00:02:09.000]  有人說崇拜是我們去察驗神臨在的時候
[00:02:09.000 --> 00:02:14.000]  我們作為人重新去發出應訊感恩和讚頌
[00:02:14.000 --> 00:02:15.000]  當你敬拜的時候
[00:02:15.000 --> 00:02:17.000]  我們經常都聽到主席會說
[00:02:17.000 --> 00:02:19.000]  求聖靈引導你去討告
[00:02:19.000 --> 00:02:21.000]  求聖靈充滿我們的心
[00:02:21.000 --> 00:02:24.000]  不過我想問一下大家
[00:02:24.000 --> 00:02:26.000]  其實當我們聽到這些的時候
[00:02:26.000 --> 00:02:29.000]  你又知不知道在說什麼呢
[00:02:29.000 --> 00:02:34.000]  我想透過保羅的一段經文去看一看
[00:02:34.000 --> 00:02:36.000]  作為被聖靈引導的敬拜者
[00:02:36.000 --> 00:02:38.000]  其實應該是怎樣呢
[00:02:38.000 --> 00:02:40.000]  很想邀請大家
[00:02:40.000 --> 00:02:41.000]  如果你有聖經的
[00:02:41.000 --> 00:02:43.000]  一起跟我們打開聖經
[00:02:43.000 --> 00:02:46.000]  或者看著鏡頭
[00:02:46.000 --> 00:02:47.000]  都有經文的
[00:02:47.000 --> 00:02:53.000]  我們今天會讀《二筆所書》的五章十五到二十一節
[00:02:53.000 --> 00:02:55.000]  好,我們一起讀經文
[00:02:55.000 --> 00:02:57.000]  你們要謹慎行事
[00:02:57.000 --> 00:02:59.000]  不要像愚昧人
[00:02:59.000 --> 00:03:01.000]  當像自慰人
[00:03:01.000 --> 00:03:02.000]  要愛惜光陰
[00:03:02.000 --> 00:03:04.000]  因為現今的世代邪惡
[00:03:04.000 --> 00:03:06.000]  不要作糊塗人
[00:03:06.000 --> 00:03:10.000]  要明白主的旨意如何
[00:03:10.000 --> 00:03:11.000]  不要醉酒
[00:03:11.000 --> 00:03:13.000]  走人使人放蕩
[00:03:13.000 --> 00:03:15.000]  乃要被聖靈充滿
[00:03:15.000 --> 00:03:19.000]  當用詩章眾詞靈歌彼此對說
[00:03:19.000 --> 00:03:21.000]  口唱心禍地讚美主
[00:03:21.000 --> 00:03:24.000]  凡事要奉我們主耶穌基督的名
[00:03:24.000 --> 00:03:26.000]  常常感謝父神
[00:03:26.000 --> 00:03:29.000]  有當傳敬畏的心彼此馴服
[00:03:29.000 --> 00:03:31.000]  我們一起禱告
[00:03:31.000 --> 00:03:33.000]  主要是願你帶領我們
[00:03:33.000 --> 00:03:35.000]  讓我們在過程當中
[00:03:35.000 --> 00:03:36.000]  透過你的訊息
[00:03:36.000 --> 00:03:38.000]  透過保羅所說的
[00:03:38.000 --> 00:03:42.000]  我們都能夠在當中被激勵
[00:03:42.000 --> 00:03:43.000]  祝願你帶領我們
[00:03:43.000 --> 00:03:45.000]  願你帶領我們在過程當中
[00:03:45.000 --> 00:03:47.000]  我們體會到
[00:03:47.000 --> 00:03:49.000]  作為被聖靈引導的人
[00:03:49.000 --> 00:03:51.000]  我們應該有一個怎樣的生命
[00:03:51.000 --> 00:03:53.000]  我們應該如何去敬拜你
[00:03:53.000 --> 00:03:55.000]  主要是願你帶領我們
[00:03:55.000 --> 00:03:56.000]  聽我們祈禱
[00:03:56.000 --> 00:03:57.000]  祈禱家託
[00:03:57.000 --> 00:03:58.000]  馮主命求
[00:03:58.000 --> 00:03:59.000]  阿門
[00:03:59.000 --> 00:04:02.000]  先講一講以弗索的背景
[00:04:02.000 --> 00:04:07.000]  以弗索是保羅在監獄寫給以弗索教會的一封信
[00:04:07.000 --> 00:04:09.000]  以弗索其實當時是一個
[00:04:09.000 --> 00:04:13.000]  敬拜希臘和羅馬神明的一個很重要的中心
[00:04:13.000 --> 00:04:15.000]  而保羅用了兩年的時間
[00:04:15.000 --> 00:04:17.000]  在那裡建立了教會
[00:04:17.000 --> 00:04:20.000]  在整卷書的前半部分
[00:04:20.000 --> 00:04:21.000]  即是說一至三章
[00:04:21.000 --> 00:04:23.000]  其實就是在說
[00:04:23.000 --> 00:04:25.000]  上帝如何藉著耶穌基督
[00:04:25.000 --> 00:04:30.000]  建立了一個猶太人和外邦人的多元的基督教群體
[00:04:30.000 --> 00:04:31.000]  保羅提醒
[00:04:31.000 --> 00:04:33.000]  收信以弗索人
[00:04:33.000 --> 00:04:36.000]  不單單只是要有頭腦上知道的信仰
[00:04:36.000 --> 00:04:40.000]  更加要他們親身經歷這個信仰
[00:04:40.000 --> 00:04:42.000]  而到了第四和第六章
[00:04:42.000 --> 00:04:43.000]  到了第六章
[00:04:43.000 --> 00:04:46.000]  就是在說當我們成為一個熟悉基督的群體的時候
[00:04:46.000 --> 00:04:50.000]  聖靈如何影響我們的生活態度
[00:04:50.000 --> 00:04:53.000]  而到了我們今天看的第五章的前半部分
[00:04:53.000 --> 00:04:54.000]  其實就是在說
[00:04:54.000 --> 00:04:56.000]  保羅正正提醒
[00:04:56.000 --> 00:05:00.000]  當成為了一個基督徒之後
[00:05:00.000 --> 00:05:02.000]  我們每一個人都要脫去舊人的衣服
[00:05:02.000 --> 00:05:04.000]  要有新的樣式
[00:05:04.000 --> 00:05:06.000]  要恢復神的形象
[00:05:06.000 --> 00:05:08.000]  對於保羅來說
[00:05:08.000 --> 00:05:10.000]  敬拜是生活
[00:05:10.000 --> 00:05:12.000]  生活就是敬拜
[00:05:12.000 --> 00:05:14.000]  其實兩者是互相緊扣的
[00:05:14.000 --> 00:05:17.000]  所以保羅在第六節開始的時候
[00:05:17.000 --> 00:05:18.000]  他就說到
[00:05:18.000 --> 00:05:20.000]  行事為人要像光明的子女
[00:05:20.000 --> 00:05:24.000]  並列出一系列的道士和道神
[00:05:24.000 --> 00:05:26.000]  在第十五到二十一節
[00:05:26.000 --> 00:05:31.000]  可以說是保羅血面的其中一個很重要的轉捩點
[00:05:31.000 --> 00:05:34.000]  就是結束之前所說的東西
[00:05:34.000 --> 00:05:37.000]  然後在二十一節之後
[00:05:37.000 --> 00:05:40.000]  就說不同的關係應該要怎樣怎樣
[00:05:40.000 --> 00:05:44.000]  其實保羅在第十五節
[00:05:44.000 --> 00:05:46.000]  也是很想回顧之前所說的
[00:05:46.000 --> 00:05:53.000]  他就說到既然信徒得著從神而來的恩典和智慧的時候
[00:05:53.000 --> 00:05:57.000]  信徒應該在行事為人上會有些不同
[00:05:57.000 --> 00:05:59.000]  在第十五節開始
[00:05:59.000 --> 00:06:02.000]  保羅列出了三個道士和道神
[00:06:02.000 --> 00:06:06.000]  保羅一開始提醒信徒要謹慎行事
[00:06:06.000 --> 00:06:07.000]  有些翻譯他就說
[00:06:07.000 --> 00:06:12.000]  所以要仔細留意你們怎樣地去行
[00:06:12.000 --> 00:06:16.000]  經文說仔細留意其實是一個命令
[00:06:16.000 --> 00:06:19.000]  意思是說他們一定要留心清楚
[00:06:19.000 --> 00:06:21.000]  不可以有差池
[00:06:21.000 --> 00:06:26.000]  帶出以下來說的道士和道神是非常重要的
[00:06:26.000 --> 00:06:28.000]  第一個保羅要提醒信徒的就是
[00:06:28.000 --> 00:06:30.000]  要叫他們去做智慧人
[00:06:30.000 --> 00:06:32.000]  不要做愚昧人
[00:06:32.000 --> 00:06:35.000]  他帶出信徒要脫離以前
[00:06:35.000 --> 00:06:40.000]  依靠外邦人的那種虛妄和昏迷
[00:06:40.000 --> 00:06:45.000]  但是我們會想其實智慧人其實是在說什麼呢
[00:06:45.000 --> 00:06:50.000]  我們又怎樣理解這個智慧其實代表什麼呢
[00:06:50.000 --> 00:06:55.000]  我們就要跳回去以佛所說一章的七字九節
[00:06:55.000 --> 00:06:57.000]  那裡是這麼說的
[00:06:57.000 --> 00:07:21.000]  所以這個智慧並不是在說什麼學歷
[00:07:21.000 --> 00:07:23.000]  甚至不是在說什麼小聰明
[00:07:23.000 --> 00:07:27.000]  而是我們要明白神的拯救是怎樣
[00:07:27.000 --> 00:07:31.000]  要明白神的拯救和我們有什麼關係
[00:07:31.000 --> 00:07:35.000]  當我們明白神的拯救是怎樣之後
[00:07:35.000 --> 00:07:41.000]  保羅在第十六節他就帶出智慧人要做的事情就是要愛惜光陰
[00:07:41.000 --> 00:07:45.000]  原文愛惜光陰其實是譯作Redeem the Time
[00:07:45.000 --> 00:07:47.000]  就是在說贖回時間
[00:07:47.000 --> 00:07:51.000]  保羅用一個買賣的概念去帶出
[00:07:51.000 --> 00:07:53.000]  我們要用盡一切的努力
[00:07:53.000 --> 00:07:56.000]  爭取一切的機會去做什麼呢
[00:07:56.000 --> 00:08:00.000]  就是要在行事為人上面去討主的喜悅
[00:08:00.000 --> 00:08:02.000]  保羅提醒信徒
[00:08:02.000 --> 00:08:08.000]  因為我們身處一個充滿邪惡充滿罪惡的世代
[00:08:08.000 --> 00:08:11.000]  所以我們作為信徒面對這些惡
[00:08:11.000 --> 00:08:13.000]  不是要害怕他們
[00:08:13.000 --> 00:08:15.000]  而是在主在來之前
[00:08:15.000 --> 00:08:20.000]  我們更加要爭取機會在行事為人上面去討主的喜悅
[00:08:20.000 --> 00:08:22.000]  到了第十七節
[00:08:22.000 --> 00:08:25.000]  保羅帶出了第二個的Do's and Don'ts
[00:08:25.000 --> 00:08:28.000]  其實是和第一對有一個平衡
[00:08:28.000 --> 00:08:30.000]  他說不要做胡桃人
[00:08:30.000 --> 00:08:32.000]  要做智慧人
[00:08:32.000 --> 00:08:34.000]  其實在舊約的尊嚴
[00:08:34.000 --> 00:08:38.000]  經常都會用到智慧人和胡桃人去做對比
[00:08:38.000 --> 00:08:41.000]  他說到原來胡桃人其實是什麼人呢
[00:08:41.000 --> 00:08:43.000]  就是一班萬筆驚心
[00:08:43.000 --> 00:08:44.000]  藐視智慧
[00:08:44.000 --> 00:08:46.000]  又沒什麼知識
[00:08:46.000 --> 00:08:48.000]  又拒絕依靠神
[00:08:48.000 --> 00:08:51.000]  甚至他們行事為人是智慧的人
[00:08:51.000 --> 00:08:54.000]  根本分辨不到對錯
[00:08:54.000 --> 00:08:57.000]  所以保羅提醒那班信徒
[00:08:57.000 --> 00:09:02.000]  不要再回到那種無知的生活方式裡面
[00:09:02.000 --> 00:09:05.000]  所以他在第十七節強調
[00:09:05.000 --> 00:09:07.000]  就是信徒的敬拜生命
[00:09:07.000 --> 00:09:09.000]  最重要的一個心態就是
[00:09:09.000 --> 00:09:11.000]  我們要察厭主的旨意
[00:09:11.000 --> 00:09:13.000]  在行事為人上面
[00:09:13.000 --> 00:09:17.000]  要有主喜悅的樣式
[00:09:17.000 --> 00:09:19.000]  敬拜就是生活
[00:09:19.000 --> 00:09:20.000]  生活就是敬拜
[00:09:20.000 --> 00:09:23.000]  這是保羅神學上面一個很重要的概念
[00:09:23.000 --> 00:09:26.000]  短短的三節承接上文
[00:09:26.000 --> 00:09:29.000]  保羅希望信徒在黑暗的世代裡面
[00:09:29.000 --> 00:09:31.000]  要做光明的兒女
[00:09:31.000 --> 00:09:33.000]  丁姊妹
[00:09:33.000 --> 00:09:34.000]  無可否認
[00:09:34.000 --> 00:09:37.000]  其實我們和保羅都是一樣
[00:09:37.000 --> 00:09:39.000]  現在都是身處一個充滿惡
[00:09:39.000 --> 00:09:41.000]  和充滿苦難的世代
[00:09:41.000 --> 00:09:43.000]  保羅提醒我們
[00:09:43.000 --> 00:09:46.000]  要脫去舊人穿上新人
[00:09:46.000 --> 00:09:49.000]  保羅提醒我們要謹慎行事
[00:09:49.000 --> 00:09:50.000]  要做智慧人
[00:09:50.000 --> 00:09:53.000]  不要做糊塗人
[00:09:53.000 --> 00:09:55.000]  在困境裡面
[00:09:55.000 --> 00:09:57.000]  我們很清楚知道
[00:09:57.000 --> 00:09:58.000]  作為基督徒
[00:09:58.000 --> 00:10:00.000]  其實是要做什麼
[00:10:00.000 --> 00:10:01.000]  我們要很清楚知道
[00:10:01.000 --> 00:10:02.000]  作為基督徒
[00:10:02.000 --> 00:10:04.000]  不應該要做什麼
[00:10:04.000 --> 00:10:06.000]  不過更加重要的是
[00:10:06.000 --> 00:10:08.000]  我們作為基督徒
[00:10:08.000 --> 00:10:10.000]  我們能不能夠清楚知道
[00:10:10.000 --> 00:10:13.000]  神的旨意想我們怎樣呢?
[00:10:13.000 --> 00:10:15.000]  丁姊妹
