
[00:00:00.000 --> 00:00:04.680]  好多謝,好開心感謝敬拜隊帶領我們敬拜
[00:00:04.680 --> 00:00:12.680]  其實我好深信,每一個敬拜都好像在生命裏面一個屬靈的增戰
[00:00:12.680 --> 00:00:20.000]  神和你打氣,聖靈來到我們心裏面,去幫我們打氣,去面對我們生命的一切
[00:00:20.000 --> 00:00:23.800]  很感謝神讓我們有敬拜,帶我們回去
[00:00:23.800 --> 00:00:26.280]  我剛剛在敬拜裏面很體會到一件事
[00:00:26.280 --> 00:00:32.000]  神好像我們回到神的面前,剛才不斷說我們回到神的殿裏面
[00:00:32.000 --> 00:00:35.200]  好像體會著神和我們一起去打這場仗
[00:00:35.200 --> 00:00:37.800]  像給我們剛強勇氣的心可以去面對
[00:00:37.800 --> 00:00:42.480]  所以很盼望,大英姊妹我不知道你在面對什麼,生命裏面
[00:00:42.480 --> 00:00:46.280]  很盼望神可以和你去打這場仗
[00:00:46.280 --> 00:00:49.280]  我們開始之前有一個祈禱
[00:00:49.280 --> 00:00:54.400]  天父我們感謝你,感謝你是我們的神
[00:00:54.400 --> 00:00:56.840]  感謝你聖靈和我們同在
[00:00:56.840 --> 00:00:58.600]  帶領我們明白你的話語
[00:00:58.600 --> 00:01:02.720]  並且在明白你的話語之後,我們生命裏面可以去面對我們的生命
[00:01:02.720 --> 00:01:04.400]  我們很軟弱,很不足
[00:01:04.400 --> 00:01:07.800]  但我們知道有你同在,大能的神和我們同在
[00:01:07.800 --> 00:01:10.400]  我們什麼都不需要怕
[00:01:10.400 --> 00:01:14.200]  祈禱你帶領我們,去跟隨你更多
[00:01:14.200 --> 00:01:18.000]  學習,給我們生命裏面對你的愛慕更多
[00:01:18.000 --> 00:01:21.880]  我們感謝你,祈禱教堂,奉祝你聖明而祈求,阿門
[00:01:21.880 --> 00:01:29.320]  我發覺我來了三個月,四個月,大概是時間過得很快
[00:01:29.320 --> 00:01:33.480]  但我發覺我還未正式在大家這麼大圍說過
[00:01:33.480 --> 00:01:36.840]  為什麼我回來香港做青少,為什麼在這裡侍奉
[00:01:36.840 --> 00:01:39.320]  為什麼特別有香港青少,很多人都問我
[00:01:39.320 --> 00:01:43.200]  我的朋友說你留在美國就好了,又有個女兒
[00:01:43.200 --> 00:01:46.560]  但其實我心裏面很清楚一件事
[00:01:46.560 --> 00:01:48.600]  我的枯燥是很早已經有了
[00:01:48.600 --> 00:01:52.520]  我的枯燥就是要回來香港,去服侍香港的青少年
[00:01:52.520 --> 00:01:54.720]  而這件事到現在都沒有變
[00:01:54.720 --> 00:01:59.880]  那時我記得在大學最後一年
[00:01:59.880 --> 00:02:04.320]  我的生命已經鋪排好
[00:02:04.320 --> 00:02:09.320]  飛機工程那時我做intern那間公司都口頭說請了我
[00:02:09.320 --> 00:02:13.640]  我打算很清晰去做,慢慢的
[00:02:13.640 --> 00:02:17.200]  有空就去服侍一下,服侍一下青少年也好
[00:02:17.200 --> 00:02:21.320]  但那時生命中突然陷入了一個低谷
[00:02:21.320 --> 00:02:25.920]  那時有兩個最好的朋友突然跟我吵架翻臉
[00:02:25.920 --> 00:02:28.640]  我是一個很重視朋友的人
[00:02:28.640 --> 00:02:33.280]  沒有了那兩個朋友,整個人都倒塌了
[00:02:33.280 --> 00:02:35.800]  不知道怎麼辦
[00:02:35.800 --> 00:02:40.040]  那時神出手帶我走生命路
[00:02:40.040 --> 00:02:43.720]  重新看一條新的道路,好像開了在我面前
[00:02:43.720 --> 00:02:46.040]  那時大學最後一年正在讀
[00:02:46.040 --> 00:02:49.120]  在facebook看了一條片
[00:02:49.120 --> 00:02:57.560]  那條片是香港女生去深圳參加一個索K比賽
[00:02:57.560 --> 00:03:04.560]  贏了索K比賽就有1000元人民幣和K後冠軍名銜
[00:03:04.560 --> 00:03:12.240]  看著片,看著女生衝過去,一口氣索18cm長的K份
[00:03:12.240 --> 00:03:17.720]  天真無邪的笑容笑得很奇怪,舉起了V字勝利手勢
[00:03:17.720 --> 00:03:21.120]  很開心,那條片就完結了
[00:03:21.120 --> 00:03:24.120]  我滾下去下面,看那邊的留言
[00:03:24.120 --> 00:03:28.480]  看那留言的第一個,那時很新出來,只有一兩個留言
[00:03:28.480 --> 00:03:31.960]  那個說我認識這個女生,她那晚就死了
[00:03:31.960 --> 00:03:36.640]  然後LOL,LOL是笑話
[00:03:36.640 --> 00:03:39.280]  她覺得這件事很好笑
[00:03:39.280 --> 00:03:45.080]  那時我心裡很接受不到這件事
[00:03:45.080 --> 00:03:50.120]  看著片,整晚都睡不著,我告訴你
[00:03:50.120 --> 00:03:54.480]  一個人,一個女生,她的生命只值1000元人民幣
[00:03:54.480 --> 00:03:58.880]  和一個K後冠軍
[00:03:58.880 --> 00:04:02.400]  所以那件事,我看著她整晚都睡不著
[00:04:02.400 --> 00:04:06.400]  我很想改變這件事,我很想說我馬上回香港阻止
[00:04:06.400 --> 00:04:08.120]  但她已經死了
[00:04:08.120 --> 00:04:10.440]  我都不知道她們的派對在哪裡
[00:04:10.440 --> 00:04:12.680]  沒可能,沒什麼可以做
[00:04:12.680 --> 00:04:15.440]  我只看到那種無助感,我只看到這件事
[00:04:15.440 --> 00:04:18.320]  我想去改變,但我改變不了
[00:04:18.320 --> 00:04:20.120]  而這件事告訴我的就是
[00:04:20.120 --> 00:04:23.280]  她真的看生命看得很沒價值
[00:04:23.280 --> 00:04:27.640]  1000元人民幣,一個K後冠軍就可以下她的命
[00:04:27.640 --> 00:04:30.000]  甚至連認識她的人,認識她的人
[00:04:30.000 --> 00:04:32.640]  覺得她這樣死也是一件很好笑的事
[00:04:32.640 --> 00:04:35.680]  所以那時我真的很立志,我說這件事沒得變
[00:04:35.680 --> 00:04:39.400]  我真的很想回香港,告訴香港的青少年人
[00:04:39.400 --> 00:04:41.400]  其實生命裡面真的有價值
[00:04:41.400 --> 00:04:45.800]  神真的很愛你,神是賦予意義給你的生命的神
[00:04:45.800 --> 00:04:48.200]  所以這件事,我一直帶著這個心思意念
[00:04:48.200 --> 00:04:53.120]  那時十年前我回到香港去服侍恩福青少部
[00:04:53.120 --> 00:04:57.600]  五年之後,我說我要受裝備,所以去讀神學
[00:04:57.600 --> 00:05:00.960]  在讀神學的時候,我時不時會想起這段影片
[00:05:00.960 --> 00:05:06.560]  亦都是那一段影片不斷鼓吹著我一定要回香港去服侍
[00:05:06.560 --> 00:05:08.880]  香港青少年人
[00:05:08.880 --> 00:05:13.600]  那一段影片告訴我,其實生命真的很破碎
[00:05:13.600 --> 00:05:15.920]  很多時候,我不知道你有沒有體會到
[00:05:15.920 --> 00:05:20.080]  特別是香港這幾年,我覺得都很不容易過
[00:05:20.080 --> 00:05:22.280]  人的生命真的很破碎
[00:05:22.280 --> 00:05:23.840]  可能我們生命裡面都會很想
[00:05:23.840 --> 00:05:28.520]  其實為甚麼我們生命不能享受到神賜給我們那份美好
[00:05:28.520 --> 00:05:32.640]  那份滿足、幸福、豐盛的生命在哪裏找
[00:05:32.640 --> 00:05:38.920]  我們生命裡面時時刻刻都想學習追求豐盛的生命
[00:05:38.920 --> 00:05:42.640]  我們很希望在破碎的世界裡面,我們可以找到出路
[00:05:42.640 --> 00:05:45.560]  我們很希望破碎的生命裡面找到出路
[00:05:45.560 --> 00:05:48.400]  但究竟破碎的生命的出路在哪裏呢?
[00:05:48.400 --> 00:05:50.560]  今天很想和大家看一段經文
[00:05:50.560 --> 00:05:52.680]  《以忽所書,易將一照九節》
[00:05:52.680 --> 00:05:57.480]  當中會告訴我們,第一件事就是生命破碎的原因
[00:05:57.480 --> 00:06:00.960]  第二件事就是我們破碎的生命的出路在哪裏
[00:06:00.960 --> 00:06:04.000]  我們生命很破碎,究竟是從哪裏來的呢?
[00:06:04.000 --> 00:06:06.800]  並且我們知道了之後,究竟我們如何回應
