
[00:00:00.000 --> 00:00:08.000]  大家好,今天很感恩可以和大家分享神的說話
[00:00:08.000 --> 00:00:14.000]  其實這次是我第一次在公眾場合去講道
[00:00:14.000 --> 00:00:16.000]  都很緊張的
[00:00:16.000 --> 00:00:23.000]  但盼望一會兒大家聽到的不是阿禎說得「嘩,甩甩咳咳」
[00:00:23.000 --> 00:00:26.000]  或者阿禎說得「嘩,都OK」
[00:00:26.000 --> 00:00:30.000]  而是大家聽到神對你生命的觸動
[00:00:30.000 --> 00:00:35.000]  以及神想透過這篇道對你生命的提醒
[00:00:35.000 --> 00:00:41.000]  今天講題是Shining Eicos在家庭中的見證
[00:00:41.000 --> 00:00:44.000]  Shining Eicos是不是很熟悉呢?
[00:00:44.000 --> 00:00:48.000]  是的,我借了青少報今年的連題
[00:00:48.000 --> 00:00:52.000]  但今天的講道並不是講教會
[00:00:52.000 --> 00:00:55.000]  如果你記得Eicos是什麼意思的話
[00:00:55.000 --> 00:00:59.000]  Eicos原本是希臘文「家」的意思
[00:00:59.000 --> 00:01:01.000]  大英姊妹問你
[00:01:01.000 --> 00:01:05.000]  你覺得在教會做見證難一點?
[00:01:05.000 --> 00:01:08.000]  還是在家庭做見證難一點?
[00:01:08.000 --> 00:01:12.000]  可能你會說我在教會很多侍奉
[00:01:12.000 --> 00:01:14.000]  我很忠心地侍奉
[00:01:14.000 --> 00:01:16.000]  我從來都不遲到的
[00:01:16.000 --> 00:01:18.000]  並且是很有交代
[00:01:18.000 --> 00:01:22.000]  所有的侍奉我都會預先好好地預備
[00:01:22.000 --> 00:01:25.000]  在教會做見證都OK
[00:01:25.000 --> 00:01:29.000]  記得上星期Asta講愛
[00:01:29.000 --> 00:01:31.000]  講哥林多前書
[00:01:31.000 --> 00:01:37.000]  她說在扭曲中的世界仍然選擇去愛
[00:01:37.000 --> 00:01:40.000]  仍然走出去做見證
[00:01:40.000 --> 00:01:43.000]  如果再叫你比較一下
[00:01:43.000 --> 00:01:46.000]  你覺得走出街去做見證難一點
[00:01:46.000 --> 00:01:49.000]  還是在家做見證難一點?
[00:01:49.000 --> 00:01:55.000]  會否在家與在街或在教會的樣子是完全不同的?
[00:01:55.000 --> 00:01:59.000]  會否很多時候在家的樣子
[00:01:59.000 --> 00:02:01.000]  才是你的真面目呢?
[00:02:01.000 --> 00:02:03.000]  才是你的真性情?
[00:02:03.000 --> 00:02:05.000]  對著家人會很容易聞的
[00:02:05.000 --> 00:02:07.000]  不知道為什麼
[00:02:07.000 --> 00:02:11.000]  我發覺《恩福》的青少報
[00:02:11.000 --> 00:02:14.000]  有一個很特別的東西
[00:02:14.000 --> 00:02:16.000]  就是有七成以上的弟兄姊妹
[00:02:16.000 --> 00:02:19.000]  都是信義代
[00:02:19.000 --> 00:02:22.000]  所以由爸爸媽媽從小開始
[00:02:22.000 --> 00:02:24.000]  將這個信仰帶給你
[00:02:24.000 --> 00:02:27.000]  一直帶你去認識這個信仰
[00:02:27.000 --> 00:02:32.000]  你會不會覺得一直都很被動地跟著爸爸媽媽呢?
[00:02:32.000 --> 00:02:35.000]  到你真的長大了
[00:02:35.000 --> 00:02:37.000]  很確定這個信仰
[00:02:37.000 --> 00:02:40.000]  覺得我要去很相信這位神
[00:02:40.000 --> 00:02:43.000]  願意全心全意去為神去侍奉神
[00:02:43.000 --> 00:02:45.000]  去為神做見證的時候
[00:02:45.000 --> 00:02:48.000]  但是在家面對比你信得更久
[00:02:48.000 --> 00:02:51.000]  更資深的爸爸媽媽
[00:02:51.000 --> 00:02:53.000]  可以怎樣做見證呢?
[00:02:53.000 --> 00:02:55.000]  我們也透過今天的經文
[00:02:55.000 --> 00:02:57.000]  一起去發掘一下好嗎?
[00:02:57.000 --> 00:03:01.000]  今天的經文記載在提摩泰前書
[00:03:01.000 --> 00:03:03.000]  四章十二節
[00:03:03.000 --> 00:03:05.000]  只有一節的經文
[00:03:05.000 --> 00:03:07.000]  我們一起讀吧,好嗎?
[00:03:07.000 --> 00:03:08.000]  一二三
[00:03:08.000 --> 00:03:10.000]  不可叫人小看你年輕
[00:03:10.000 --> 00:03:15.000]  總要在言語、行為、愛心、信心和清潔上
[00:03:15.000 --> 00:03:17.000]  都作信徒的榜樣
[00:03:17.000 --> 00:03:19.000]  我們一同祈禱
[00:03:19.000 --> 00:03:23.000]  七天父求你讓你的話
[00:03:23.000 --> 00:03:26.000]  透過孩子的口去宣講出來
[00:03:26.000 --> 00:03:28.000]  求你讓弟兄姊妹
[00:03:28.000 --> 00:03:30.000]  可以領受到你的話語
[00:03:30.000 --> 00:03:33.000]  讓弟兄姊妹領受到你的話語的時候
[00:03:33.000 --> 00:03:35.000]  成為他們生命的祝福
[00:03:35.000 --> 00:03:39.000]  讓我們一同去更加貼近主理
[00:03:39.000 --> 00:03:43.000]  這樣的祈禱奉主耶穌基督得聖命致祈求
[00:03:43.000 --> 00:03:44.000]  阿門
[00:03:44.000 --> 00:03:45.000]  好
[00:03:45.000 --> 00:03:48.000]  第一樣東西我們怎樣做見證呢?
[00:03:48.000 --> 00:03:51.000]  首先不要叫人小看你年輕
[00:03:51.000 --> 00:03:54.000]  其實提摩泰前書和提摩泰後書
[00:03:54.000 --> 00:03:56.000]  是保羅寫給提摩泰的
[00:03:56.000 --> 00:04:01.000]  主要是關於對提摩泰作領袖的勸勉
[00:04:01.000 --> 00:04:05.000]  其實提摩泰的出生和大家都很相似
[00:04:05.000 --> 00:04:07.000]  我們知道
[00:04:07.000 --> 00:04:11.000]  他母親是一個信耶穌的猶太人
[00:04:11.000 --> 00:04:15.000]  即是說提摩泰是一個信義代
[00:04:15.000 --> 00:04:18.000]  在保羅的第一次宣教行程裏
[00:04:18.000 --> 00:04:23.000]  他途經突比遇見了這位年輕人提摩泰
[00:04:23.000 --> 00:04:28.000]  突比就是那個箭咀的位置
[00:04:28.000 --> 00:04:31.000]  下面的圈圈就是耶路撒冷
[00:04:31.000 --> 00:04:34.000]  你就可以看到距離
[00:04:34.000 --> 00:04:39.000]  突比即是現在差不多是土耳其的地方
[00:04:39.000 --> 00:04:42.000]  其實提摩泰也算是一個很熱心的年輕人
[00:04:42.000 --> 00:04:43.000]  為甚麼呢?
[00:04:43.000 --> 00:04:45.000]  因為當他見到保羅之後
[00:04:45.000 --> 00:04:48.000]  他直接跟著保羅去宣教
[00:04:48.000 --> 00:04:51.000]  之後還成為保羅身邊得力的童工
[00:04:51.000 --> 00:04:54.000]  現在保羅年紀大
[00:04:54.000 --> 00:04:57.000]  想找提摩泰去接他的班
[00:04:57.000 --> 00:05:01.000]  大家覺得成為保羅的接班人厲害嗎?
[00:05:01.000 --> 00:05:04.000]  你可以想像一下成為蘇木斯的接班人
[00:05:04.000 --> 00:05:06.000]  厲害嗎?
[00:05:06.000 --> 00:05:10.000]  但當時的教會裏面未必每個都這樣想
[00:05:10.000 --> 00:05:14.000]  當時提摩泰面對著一些挑戰
[00:05:14.000 --> 00:05:17.000]  當他在信仰上成長的時候
[00:05:17.000 --> 00:05:19.000]  他慢慢要成為一個領袖
[00:05:19.000 --> 00:05:21.000]  他身邊年長過他
[00:05:21.000 --> 00:05:25.000]  信主年資和年日都知心過他的人
[00:05:25.000 --> 00:05:29.000]  難免對提摩泰的年紀有所質疑
